Identifier,State,Location,Site,PitID,Date,Time,Density,LWC,Temp,Strat,"Interval
Board","Perimeter
Depths",Flag,Photo Package
CAAMCL_20191220_1300,CA,American River Basin,Caples Lake,CAAMCL,2019-12-20,13:00,y,n,y,y,n,y,"BDG, MW","book1, book2, east, north, pit, south, up, west"
CAAMCL_20200131_1215,CA,American River Basin,Caples Lake,CAAMCL,2020-01-31,12:15,y,n,y,y,n,y,MW,"book1, book2, east, north, pit, south, up, west"
CAAMCL_20200214_1200,CA,American River Basin,Caples Lake,CAAMCL,2020-02-14,12:00,y,n,y,y,y,y,STLay,"book1, book2, east, north, pit, south, up, west"
CAAMCL_20200221_1200,CA,American River Basin,Caples Lake,CAAMCL,2020-02-21,12:00,y,n,y,y,y,y,"MW, STLay","book1, book2, east, north, pit, south, up, west"
CAAMCL_20200228_1130,CA,American River Basin,Caples Lake,CAAMCL,2020-02-28,11:30,y,n,y,y,y,y,STLay,"book1, book2, east, north, pit, south, up, west"
CAAMCL_20200306_1145,CA,American River Basin,Caples Lake,CAAMCL,2020-03-06,11:45,y,y,y,y,y,y,MW,"book1, book2, east, north, pit, south, up, west"
CAAMCL_20200313_1030,CA,American River Basin,Caples Lake,CAAMCL,2020-03-13,10:30,y,y,y,y,y,y,"MW, STCom, STLay","book1, book2, east, north, pit, south, up, west"
IDBRLO_20200122_1512,ID,Boise River Basin,LDP Open,IDBRLO,2020-01-22,15:12,y,n,y,y,y,y,"BDG, MW","book1, book2"
IDBRLO_20200131_0926,ID,Boise River Basin,LDP Open,IDBRLO,2020-01-31,09:26,y,n,y,y,y,y,"BDG, MW","book1, book2, east, north, pit, south, west"
IDBRLO_20200212_1519,ID,Boise River Basin,LDP Open,IDBRLO,2020-02-12,15:19,y,n,y,y,y,y,BDG,"book1, book2, east, north, pit, south, up, west"
IDBRLO_20200220_0845,ID,Boise River Basin,LDP Open,IDBRLO,2020-02-20,08:45,y,n,y,y,y,y,BDG,"book1, book2, east, north, pit, south, up, west"
IDBRLO_20200226_0928,ID,Boise River Basin,LDP Open,IDBRLO,2020-02-26,09:28,y,n,y,y,y,y,BDG,"book1, book2, east, north, pit, south, up, west"
IDBRLO_20200304_1210,ID,Boise River Basin,LDP Open,IDBRLO,2020-03-04,12:10,y,n,y,y,n,y,,"book1, book2, east, north, south, up, west"
IDBRLO_20200311_0930,ID,Boise River Basin,LDP Open,IDBRLO,2020-03-11,09:30,y,n,y,y,y,y,,"book1, book2, pit"
IDBRLT_20200122_1324,ID,Boise River Basin,LDP Tree,IDBRLT,2020-01-22,13:24,y,n,y,y,n,y,"BDG, MW","book1, book2"
IDBRLT_20200131_1115,ID,Boise River Basin,LDP Tree,IDBRLT,2020-01-31,11:15,y,n,y,y,y,y,"BDG, STCom, MW","book1, book2, east, north, pit, south, up, west"
IDBRLT_20200212_1400,ID,Boise River Basin,LDP Tree,IDBRLT,2020-02-12,14:00,y,n,y,y,y,y,"TDG, BDG, STCom","book, book1, book2, east, north, pit, south, up, west"
IDBRLT_20200220_1042,ID,Boise River Basin,LDP Tree,IDBRLT,2020-02-20,10:42,y,n,y,y,y,y,MDG,"book1, book2, east, north, pit, south, west"
IDBRLT_20200226_1115,ID,Boise River Basin,LDP Tree,IDBRLT,2020-02-26,11:15,y,n,y,y,y,y,BDG,"book1, book2, east, north, pit, south, up, west"
IDBRLT_20200304_1111,ID,Boise River Basin,LDP Tree,IDBRLT,2020-03-04,11:11,y,n,y,y,n,y,,"book1, book2, east, north, pit, south, up, west"
IDBRLT_20200311_1117,ID,Boise River Basin,LDP Tree,IDBRLT,2020-03-11,11:17,y,y,y,y,y,y,BDG,"book1, book2, east, north, pit, south, west"
IDBRBO_20191218_1424,ID,Boise River Basin,Banner Open,IDBRBO,2019-12-18,14:24,y,n,y,y,n,y,AD,"book1, book2, east, north, pit, south, up, west"
IDBRBO_20200109_1411,ID,Boise River Basin,Banner Open,IDBRBO,2020-01-09,14:11,y,n,y,y,y,n,,"book1, book2, pit"
IDBRBO_20200123_1430,ID,Boise River Basin,Banner Open,IDBRBO,2020-01-23,14:30,y,n,y,y,y,n,"STCom, AD","book1, book2, east, north, pit, south, up, west"
IDBRBO_20200130_1340,ID,Boise River Basin,Banner Open,IDBRBO,2020-01-30,13:40,y,n,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBO_20200206_1300,ID,Boise River Basin,Banner Open,IDBRBO,2020-02-06,13:00,y,n,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBO_20200213_1230,ID,Boise River Basin,Banner Open,IDBRBO,2020-02-13,12:30,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBO_20200219_1222,ID,Boise River Basin,Banner Open,IDBRBO,2020-02-19,12:22,y,y,y,y,y,y,"BDG, AD","book1, book2, east, north, pit, south, up, west"
IDBRBO_20200227_1240,ID,Boise River Basin,Banner Open,IDBRBO,2020-02-27,12:40,y,y,y,y,y,y,BDG,"book1, book2, east, north, pit, south, west"
IDBRBO_20200305_1245,ID,Boise River Basin,Banner Open,IDBRBO,2020-03-05,12:45,y,y,y,y,y,y,,"book1, book2"
IDBRBO_20200312_1215,ID,Boise River Basin,Banner Open,IDBRBO,2020-03-12,12:15,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBS_20191218_1000,ID,Boise River Basin,Banner Snotel,IDBRBS,2019-12-18,10:00,y,y,y,y,y,y,AD,"book1, book2, east, north, pit, south, up, west"
IDBRBS_20200109_1030,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-01-09,10:30,y,n,y,y,y,n,AD,"book1, book2, east, north, pit, pit2, south, up, west"
IDBRBS_20200123_1100,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-01-23,11:00,y,n,y,y,y,n,"STCom, AD","book1, book2, east, north, pit, south, up, west"
IDBRBS_20200130_1200,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-01-30,12:00,y,n,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBS_20200206_1200,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-02-06,12:00,y,n,y,y,y,y,STCom,"book1, book2, east, north, pit, south, up, west"
IDBRBS_20200213_1130,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-02-13,11:30,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBS_20200219_1045,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-02-19,10:45,y,y,y,y,y,y,,"book1, book2"
IDBRBS_20200227_1030,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-02-27,10:30,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBS_20200305_1040,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-03-05,10:40,y,y,y,y,y,y,,"book1, book2"
IDBRBS_20200312_1000,ID,Boise River Basin,Banner Snotel,IDBRBS,2020-03-12,10:00,y,y,y,y,y,y,STCom,"book1, book2, east, flowfinger, flowfinger2, flowfinger3, north, pit, south, up, west"
IDBRBU_20191219_1000,ID,Boise River Basin,Bogus Upper,IDBRBU,2019-12-19,10:00,y,y,y,y,y,n,AD,"book1, book2, east, north, pit, up"
IDBRBU_20200108_1155,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-01-08,11:55,y,n,y,y,y,n,AD,"book1, book2, pit, pit2, west"
IDBRBU_20200116_1100,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-01-16,11:00,y,n,y,y,y,y,AD,"book1, book2, east, north, pit, south, up, west"
IDBRBU_20200124_1315,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-01-24,13:15,y,y,y,y,y,y,AD,"book1, book2, east, north, pit, south, west"
IDBRBU_20200131_1330,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-01-31,13:30,y,n,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBU_20200207_1230,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-02-07,12:30,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBU_20200214_1230,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-02-14,12:30,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
IDBRBU_20200220_1100,ID,Boise River Basin,Bogus Upper,IDBRBU,2020-02-20,11:00,y,y,y,y,y,y,,"book1, book2, east, north, pit, south, up, west"
