,latitude,longitude
0,,
1,,
2,39.03397,-108.21391
3,39.04307,-108.06467
4,39.04404,-108.06224
5,39.044,-108.06216
6,39.05093,-108.0613
7,39.0441,-108.06182
8,39.05089,-108.06132
9,39.05096,-108.06127
10,39.04391,-108.06235
11,39.04395,-108.06235
12,39.04404,-108.06216
13,,
14,,
15,,
16,39.0429,-108.06502
17,39.05107,-108.06255
18,39.05097,-108.06273
19,39.05089,-108.06278
20,39.03043,-108.03216
21,39.0452,-108.06265
22,39.04272,-108.06464
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,40.03213,-105.54619
41,40.03213,-105.54619
42,40.03213,-105.54619
43,40.04017,-105.55717
44,40.04009,-105.55703
45,40.03998,-105.55703
46,40.03987,-105.55703
47,40.03317,-105.55362
48,40.03212,-105.54606
49,40.03208,-105.54626
50,40.03212,-105.54606
51,40.03606,-105.55197
52,40.0357,-105.552
53,40.03588,-105.55221
54,40.03581,-105.55206
55,40.03188,-105.54714
56,4.10115,-105.42057
57,40.03193,-105.5472
58,40.03316,-105.55348
59,40.03323,-105.55354
60,40.03318,-105.55361
61,40.03568,-105.55187
62,40.03575,-105.55209
63,40.03148,-105.54673
64,40.03569,-105.55199
65,40.03573,-105.5519
66,40.03315,-105.5435
67,40.03568,-105.55187
68,4.10148,-105.42023
69,40.03155,-105.54669
70,40.0336,-105.55424
71,40.03363,-105.55426
72,40.03361,-105.55409
73,40.0337,-105.55403
74,40.04022,-105.55691
75,40.04037,-105.55691
76,40.04027,-105.55684
77,40.04036,-105.55672
78,40.03576,-105.55216
79,40.03563,-105.55199
80,40.03563,-105.5519
81,40.03604,-105.5524
82,40.03604,-105.55224
83,4.09605,-105.42564
84,40.03314,-105.55338
85,40.0403,-105.55697
86,40.04032,-105.5569
87,38.92659,-106.97971
88,40.04034,-105.55724
89,40.04025,-105.55724
90,40.03574,-105.5521
91,38.92657,-106.97986
92,38.92528,-106.97094
93,38.92534,-106.97095
94,38.92529,-106.97108
95,38.92973,-106.97809
96,38.9297,-106.97818
97,38.92978,-106.97814
98,38.92893,-106.97759
99,38.92892,-106.97768
100,38.92887,-106.97758
101,38.92669,-106.97835
102,38.92664,-106.97849
103,38.92667,-106.9785
104,38.92632,-106.97921
105,38.92638,-106.97933
106,38.92635,-106.97915
107,38.92667,-106.97976
108,38.92663,-106.98
109,38.93336,-106.9899
110,38.9333,-106.98992
111,38.93315,-106.98975
112,38.92532,-106.97115
113,38.92533,-106.97116
114,38.92924,-106.97778
115,38.92947,-106.97789
116,38.92938,-106.97777
117,38.92665,-106.97862
118,38.92876,-106.97992
119,38.92881,-106.97781
120,38.92878,-106.97781
121,38.92967,-106.97829
122,38.92665,-106.97862
123,38.92648,-106.97928
124,38.92648,-106.97927
