Filename,PitID,Location,Site,Surveyor,Date,Time,notes
20200122_NW_FF_2,2,NW,FF,AM,1/22/20,10:10,
20200122_NW_FF_1,1,NW,FF,HB,1/22/20,10:20,
20200122_NW_FF_3,3,NW,FF,"LH, MR, AK, ER",1/22/20,10:25,
20200212_NW_FF_1,1,NW,FF,"ER, AK",2/12/20,11:10,
20200212_NW_FF_2,2,NW,FF,"ER, AK",2/12/20,11:45,
20200311_NW_FF_1,1,NW,FF,"AM, ES",3/11/20,9:00,
20200311_NW_FF_2,2,NW,FF,ES,3/11/20,9:20,
20200311_NW_FF_3,3,NW,FF,"AM, ES",3/11/20,9:45,
20200422_NW_FF_1,1,NW,FF,"HB, JT",4/22/20,13:10,
20200513_NW_FF_3,3,NW,FF,ES,5/13/20,9:30,
20200513_NW_FF_1,1,NW,FF,MR,5/13/20,9:55,
20200513_NW_FF_2,2,NW,FF,ES,5/13/20,10:30,
20200122_NW_FN_2,2,NW,FN,"HB, AK",1/22/20,12:30,
20200122_NW_FN_3,3,NW,FN,AM,1/22/20,12:30,
20200122_NW_FN_1,1,NW,FN,"EH, MR",1/22/20,12:45,
20200212_NW_FN_1,1,NW,FN,AM,2/12/20,13:35,
20200311_NW_FN_1,1,NW,FN,"AM, ES",3/11/20,11:00,
20200311_NW_FN_3,3,NW,FN,ES,3/11/20,11:00,
20200311_NW_FN_2,2,NW,FN,"AM, ES",3/11/20,11:30,
20200513_NW_FN_2,2,NW,FN,AK,5/13/20,9:44,
20200513_NW_FN_1,1,NW,FN,ER,5/13/20,10:00,
20200513_NW_FN_3,3,NW,FN,AK,5/13/20,10:24,
20200513_NW_FN_4,4,NW,FN,"ER, AK",5/13/20,10:48,
20200122_NW_FS_3,3,NW,FS,AM,1/22/20,14:00,
20200122_NW_FS_1,1,NW,FS,"HB, AK",1/22/20,14:05,
20200122_NW_FS_2,2,NW,FS,"ER, MR",1/22/20,14:05,
20200212_NW_FS_3,3,NW,FS,"AM, ES",2/12/20,10:40,
20200212_NW_FS_1,1,NW,FS,"ES, AM",2/12/20,11:00,
20200212_NW_FS_2,2,NW,FS,AM,2/12/20,11:08,
20200311_NW_FS_1,1,NW,FS,AK,3/11/20,9:30,
20200311_NW_FS_2,2,NW,FS,HB,3/11/20,9:30,
20200311_NW_FS_3,3,NW,FS,AK,3/11/20,10:10,
20200513_NW_FS_3,3,NW,FS,ES,5/13/20,9:15,
20200513_NW_FS_2,2,NW,FS,"AM, ES",5/13/20,9:30,
20200513_NW_FS_4,4,NW,FS,"ES, AM",5/13/20,9:45,
20200513_NW_FS_1,1,NW,FS,"AM, ES",5/13/20,10:00,
20200122_NW_OF_3,3,NW,OF ,AM,1/22/20,11:00,
20200122_NW_OF_2,2,NW,OF,AM,1/22/20,11:15,
20200122_NW_OF_1,1,NW,OF,HB,1/22/20,11:40,
20200212_NW_OF_3,3,NW,OF,"AK, ER",2/12/20,12:54,
20200212_NW_OF_1,1,NW,OF,AM,2/12/20,13:00,
20200212_NW_OF_2,2,NW,OF,AM,2/12/20,,
20200311_NW_OF_1,1,NW,OF,HB,3/11/20,11:00,
20200311_NW_OF_2,2,NW,OF,AK,3/11/20,11:18,
20200311_NW_OF_3,3,NW,OF,HB,3/11/20,11:45,
20200422_NW_OF_1,1,NW,OF,"HB, JT",4/22/20,10:54,
20200422_NW_OF_2,2,NW,OF,"HB, JT",4/22/20,11:55,
20200513_NW_OF_1,1,NW,OF,"AM, ES",5/13/20,10:50,
20200513_NW_OF_2,2,NW,OF,"AM, ES",5/13/20,10:50,
20200513_NW_OF_4,4,NW,OF,"AM, ES",5/13/20,11:15,
20200513_NW_OF_3,3,NW,OF,"AM, ES",5/13/20,11:30,
