,Date,Location,Site,PitID,latitude,longitude
0,2020-01-31,American,Caples Lake,CAAMCL,38.71034,-120.04182
1,2020-02-28,American,Caples Lake,CAAMCL,38.71025,-120.04188
2,2020-02-14,American,Caples Lake,CAAMCL,38.71033,-120.04185
3,2020-02-21,American,Caples Lake,CAAMCL,38.71027,-120.04186
4,2019-12-20,American,Caples Lake,CAAMCL,38.71033,-120.04187
5,2020-03-06,American,Caples Lake,CAAMCL,38.71026,-120.04187
6,2020-03-13,American,Caples Lake,CAAMCL,38.71024,-120.0419
7,2020-01-29,Jemez River,BA Flux Tower,NMJRBA,35.8886,-106.5318
8,2019-12-20,Jemez River,BA Flux Tower,NMJRBA,35.88858,-106.5318
9,2020-03-04,Jemez River,BA Flux Tower,NMJRBA,35.88861,-106.5319
10,2020-02-20,Jemez River,BA Flux Tower,NMJRBA,35.88857,-106.53188
11,2020-01-22,Jemez River,BA Flux Tower,NMJRBA,35.88859,-106.5318
12,2020-02-05,Jemez River,BA Flux Tower,NMJRBA,35.88862,-106.53185
13,2020-02-12,Jemez River,BA Flux Tower,NMJRBA,35.88859,-106.53179
14,2020-02-26,Jemez River,BA Flux Tower,NMJRBA,35.88857,-106.53188
15,2019-12-20,Jemez River,HQ Met Station,NMJRHQ,35.85793,-106.52139
16,2020-01-22,Jemez River,HQ Met Station,NMJRHQ,35.85793,-106.52139
17,2020-01-29,Jemez River,HQ Met Station,NMJRHQ,35.8579,-106.52138
18,2020-02-05,Jemez River,HQ Met Station,NMJRHQ,35.85789,-106.52138
19,2020-02-12,Jemez River,HQ Met Station,NMJRHQ,35.85789,-106.52136
20,2020-02-20,Jemez River,HQ Met Station,NMJRHQ,35.85792,-106.52136
21,2020-02-26,Jemez River,HQ Met Station,NMJRHQ,35.85792,-106.52136
22,2020-03-04,Jemez River,HQ Met Station,NMJRHQ,35.85815,-106.52135
23,2020-01-22,Boise River Basin,LDP Open,IDBRLO,43.73702,-116.1218
24,2020-01-31,Boise River Basin,LDP Open,IDBRLO,43.73701,-116.12188
25,2020-02-12,Boise River Basin,LDP Open,IDBRLO,43.73705,-116.12188
26,2020-02-20,Boise River Basin,LDP Open,IDBRLO,43.73703,-116.12185
27,2020-02-26,Boise River Basin,LDP Open,IDBRLO,43.73702,-116.12182
28,2020-03-04,Boise River Basin,LDP Open,IDBRLO,43.73715,-116.12163
29,2020-03-11,Boise River Basin,LDP Open,IDBRLO,43.73719,-116.12164
30,2019-12-19,Boise River Basin,Bogus Upper,IDBRBU,43.75885,-116.0902
31,2020-01-08,Boise River Basin,Bogus Upper,IDBRBU,43.75885,-116.0902
