,Date,Location,Site,PitID,UTME,UTMN,UTMzone
0,12/20/19,American,Caples Lake,CAAMCL,757216,4288787,10
1,1/31/20,American,Caples Lake,CAAMCL,757220,4288788,10
2,2/14/20,American,Caples Lake,CAAMCL,757218,4288787,10
3,2/21/20,American,Caples Lake,CAAMCL,757217,4288780,10
4,2/28/20,American,Caples Lake,CAAMCL,757215,4288778,10
5,3/6/20,American,Caples Lake,CAAMCL,757216,4288779,10
6,3/13/20,American,Caples Lake,CAAMCL,757214,4288777,10
7,12/18/19,Boise River Basin,Banner Summit - Snotel,IDBRBS,640819,4907109,11
8,1/9/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640822,4907117,11
9,1/23/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640824,4907117,11
10,1/30/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640815,4907108,11
11,2/6/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640822,4907114,11
12,2/13/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640822,4907114,11
13,2/19/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640821,4907147,11
14,2/27/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640813,4907107,11
15,3/5/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640818,4907107,11
16,3/12/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,640816,4907108,11
17,12/18/19,Boise River Basin,Banner Summit - Open,IDBRBO,640675,4907221,11
18,1/9/20,Boise River Basin,Banner Summit - Open,IDBRBO,640675,4907221,11
19,1/23/20,Boise River Basin,Banner Summit - Open,IDBRBO,640704,4907219,11
20,1/30/20,Boise River Basin,Banner Summit - Open,IDBRBO,640704,4907219,11
21,2/6/20,Boise River Basin,Banner Summit - Open,IDBRBO,640707,4907216,11
22,2/13/20,Boise River Basin,Banner Summit - Open,IDBRBO,640698,4907204,11
23,2/19/20,Boise River Basin,Banner Summit - Open,IDBRBO,640699,4907220,11
24,2/27/20,Boise River Basin,Banner Summit - Open,IDBRBO,640700,4907211,11
25,3/5/20,Boise River Basin,Banner Summit - Open,IDBRBO,640703,4907205,11
26,3/12/20,Boise River Basin,Banner Summit - Open,IDBRBO,640697,4907199,11
27,12/19/19,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573237,4845492,11
28,1/8/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573237,4845492,11
29,1/16/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573240,4845499,11
30,1/24/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573243,4845504,11
31,1/31/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573251,4845487,11
32,2/7/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573150,4845491,11
33,2/14/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573240,4845490,11
34,2/20/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573240,4845487,11
35,2/26/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573242,4845482,11
36,3/4/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573238,4845485,11
37,3/11/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,573233,4845488,11
38,1/22/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570719,4843040,11
39,1/31/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570713,4843038,11
40,2/12/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570713,4843043,11
41,2/20/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570715,4843041,11
42,2/26/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570718,4843040,11
43,3/4/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570733,4843054,11
44,3/11/20,Boise River Basin,Lower Deer Point - Open,IDBRLO,570732,4843059,11
45,1/22/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570828,4842964,11
46,1/31/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570825,4842972,11
47,2/12/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570821,4842961,11
48,2/20/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570715,4843041,11
49,2/26/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570819,4842967,11
50,3/4/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570826,4842961,11
51,3/11/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,570817,4842967,11
52,2/12/20,Boise River Basin,Mores Creek Summit,IDBRMC,606192,4866876,11
53,3/11/20,Boise River Basin,Mores Creek Summit,IDBRMC,606192,4866876,11
54,12/18/19,Cameron Pass,Joe Wright,COCPJW,424324,4486303,13
55,1/24/20,Cameron Pass,Joe Wright,COCPJW,424324,4486309,13
56,1/31/20,Cameron Pass,Joe Wright,COCPJW,424321,4486311,13
57,2/12/20,Cameron Pass,Joe Wright,COCPJW,424320,4486295,13
58,2/19/20,Cameron Pass,Joe Wright,COCPJW,424321,4486311,13
59,2/26/20,Cameron Pass,Joe Wright,COCPJW,424317,4486315,13
60,3/4/20,Cameron Pass,Joe Wright,COCPJW,424319,4486315,13
61,3/11/20,Cameron Pass,Joe Wright,COCPJW,424332,4485900,13
62,12/18/19,Cameron Pass,Michigan River,COCPMR,424444,4485710,13
63,1/24/20,Cameron Pass,Michigan River,COCPMR,424445,4485710,13
64,1/31/20,Cameron Pass,Michigan River,COCPMR,424448,4485708,13
