,Unnamed: 0,Date,Location,Site,PitID,Latitude,Longitude,UTME,UTMN,UTMzone
0,0,12/20/19,American,Caples Lake,CAAMCL,38.71033054555811,-120.04186927254749,757216,4288787,10
1,1,1/31/20,American,Caples Lake,CAAMCL,38.71033838194462,-120.0418229560188,757220,4288788,10
2,2,2/14/20,American,Caples Lake,CAAMCL,38.710329963870116,-120.04184629988718,757218,4288787,10
3,3,2/21/20,American,Caples Lake,CAAMCL,38.710267256343286,-120.04186038464363,757217,4288780,10
4,4,2/28/20,American,Caples Lake,CAAMCL,38.71024983849251,-120.04188409968447,757215,4288778,10
5,5,3/6/20,American,Caples Lake,CAAMCL,38.71025854741857,-120.04187224216548,757216,4288779,10
6,6,3/13/20,American,Caples Lake,CAAMCL,38.71024112956513,-120.04189595720058,757214,4288777,10
7,7,12/18/19,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.3035956861088,-115.23456521582638,640819,4907109,11
8,8,1/9/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.303667094905904,-115.23452546461992,640822,4907117,11
9,9,1/23/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.30366670743946,-115.23450040259526,640824,4907117,11
10,10,1/30/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.30358746225817,-115.23461560958039,640815,4907108,11
11,11,2/6/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.30364009866164,-115.23452627395126,640822,4907114,11
12,12,2/13/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.30364009866164,-115.23452627395126,640822,4907114,11
13,13,2/19/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.3039372510738,-115.23452990231398,640821,4907147,11
14,14,2/27/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.30357885095003,-115.23464094133178,640813,4907107,11
15,15,3/5/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.30357788233847,-115.23457828636103,640818,4907107,11
16,16,3/12/20,Boise River Basin,Banner Summit - Snotel,IDBRBS,44.3035872685358,-115.23460307858431,640816,4907108,11
17,17,12/18/19,Boise River Basin,Banner Summit - Open,IDBRBO,44.30463142928107,-115.23633949652755,640675,4907221,11
18,18,1/9/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30463142928107,-115.23633949652755,640675,4907221,11
19,19,1/23/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30460781864757,-115.23597663004416,640704,4907219,11
20,20,1/30/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30460781864757,-115.23597663004416,640704,4907219,11
21,21,2/6/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30458024165339,-115.23593984508769,640707,4907216,11
22,22,2/13/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30447399876678,-115.23605586066141,640698,4907204,11
23,23,2/19/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30461778526371,-115.23603901660265,640699,4907220,11
24,24,2/27/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.304536602908776,-115.23602891138518,640700,4907211,11
25,25,3/5/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30448202966985,-115.23599293513006,640703,4907205,11
26,26,3/12/20,Boise River Basin,Banner Summit - Open,IDBRBO,44.30442919856129,-115.2360697396003,640697,4907199,11
27,27,12/19/19,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.758853778813915,-116.09020409458404,573237,4845492,11
28,28,1/8/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.758853778813915,-116.09020409458404,573237,4845492,11
29,29,1/16/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.75891650144849,-116.09016587633836,573240,4845499,11
30,30,1/24/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.75896121856149,-116.09012793088212,573243,4845504,11
31,31,1/31/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.758807380607806,-116.09003088169855,573251,4845487,11
32,32,2/7/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.75885337341889,-116.09128486514872,573150,4845491,11
33,33,2/14/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.75883547666296,-116.090167104198,573240,4845490,11
34,34,2/20/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.758808468400865,-116.09016751348341,573240,4845487,11
35,35,2/26/20,Boise River Basin,Bogus Ridge - Upper,IDBRBU,43.75876325686231,-116.09014335349984,573242,4845482,11
