Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Precipitation,Sky,Wind,Ground Condition,Ground Roughness,Ground Vegetation,Depth of Ground Vegetation (cm),Canopy
NW,FF,2,2020-01-22T10:10,13,453399,4431466,40.03213,-105.54619,Light,Broken (> 1/2 of sky),Moderate,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FF,3,2020-01-22T10:25,13,453399,4431466,40.03213,-105.54619,None,Scattered (1/4 - 1/2 of sky),Moderate,Frozen,Smooth,Shrub,26,Open (20-70%)
NW,FF,1,2020-01-22T10:20,13,453399,4431466,40.03213,-105.54619,None,Scattered (1/4 - 1/2 of sky),Moderate,Frozen,Smooth,Shrub,26,Open (20-70%)
NW,FS,1,2020-01-22T14:05,13,452468,4432364,40.04017,-105.55717,Light,Overcast(complete cover),Moderate,Frozen,Smooth,Grass,,Open (20-70%)
NW,FS,3,2020-02-12T10:40,13,452480,4432355,40.04009,-105.55703,None,Few (< 1/4 of sky),Calm,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FS,2,2020-02-12T11:08,13,452480,4432343,40.03998,-105.55703,None,Few (< 1/4 of sky),Calm,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FS,1,2020-02-12T11:00,13,452480,4432331,40.03987,-105.55703,None,Few (< 1/4 of sky),Calm,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FN,2,2020-01-22T12:30,13,452766,4431586,40.03317,-105.55362,Light,Broken (> 1/2 of sky),Moderate,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FN,1,2020-02-12T13:35,13,453410,4431465,40.03212,-105.54606,None,Clear,Calm,Frozen,Rough,Shrub,,Open (20-70%)
NW,FF,1,2020-02-12T11:10,13,453393,4431461,40.03208,-105.54626,None,Clear,Calm,Frozen,Smooth,Shrub,5,Closed (>70%)
NW,FF,2,2020-02-12T11:45,13,453410,4431465,40.03212,-105.54606,None,Clear,Calm,Frozen,Smooth,Shrub,5,Closed (>70%)
NW,OF ,3,2020-01-22T11:00,13,452909,4431905,40.03606,-105.55197,Very Light,Broken (> 1/2 of sky),Strong,Frozen,Rough,Shrub | Deadfall,,Sparse (5-20%)
NW,OF,1,2020-02-12T13:00,13,452906,4431866,40.0357,-105.552,Light,Broken (> 1/2 of sky),Light,Frozen,Rough,Shrub,,No Trees
NW,OF,3,2020-02-12T12:54,13,452888,4431886,40.03588,-105.55221,Moderate,Overcast(complete cover),Light,Frozen,Rough,Grass | Shrub,20,Open (20-70%)
