Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Density A Mean (kg/m^3),Density B Mean (kg/m^3),Density Mean (kg/m^3),SWE A (mm),SWE B (mm),SWE (mm),Snow Depth (cm)
NW,FF,2,2020-01-22T10:10,13N,453399,4431466,40.03213,-105.54619,249.89830508474577,247.79661016949152,248.84745762711864,147.44,146.20000000000002,146.82,59.0
NW,FF,3,2020-01-22T10:25,13N,453399,4431466,40.03213,-105.54619,264.92957746478874,268.3098591549296,266.6197183098592,188.10000000000002,190.5,189.3,71.0
NW,FF,1,2020-01-22T10:20,13N,453399,4431466,40.03213,-105.54619,261.6923076923077,255.23076923076923,258.46153846153845,170.10000000000002,165.9,168.0,65.0
NW,FS,1,2020-01-22T14:05,13N,452468,4432364,40.04017,-105.55717,253.48101265822785,252.9240506329114,253.20253164556962,200.25,199.81,200.03,79.0
NW,FS,3,2020-02-12T10:40,13N,452480,4432355,40.04009,-105.55703,230.03773584905662,225.16981132075472,227.60377358490567,243.84,238.68000000000004,241.26000000000002,106.0
NW,FS,2,2020-02-12T11:08,13N,452480,4432343,40.03998,-105.55703,248.484375,246.578125,247.53125,318.05999999999995,315.62,316.84,128.0
NW,FS,1,2020-02-12T11:00,13N,452480,4432331,40.03987,-105.55703,226.40384615384616,225.05769230769232,225.73076923076923,235.45999999999998,234.06,234.76,104.0
NW,FN,2,2020-01-22T12:30,13N,452766,4431586,40.03317,-105.55362,312.7283950617284,309.71604938271605,311.22222222222223,253.31,250.86999999999998,252.08999999999997,81.0
NW,FN,1,2020-02-12T13:35,13N,453410,4431465,40.03212,-105.54606,249.8091603053435,252.33587786259542,251.07251908396947,327.25000000000006,330.56000000000006,328.9050000000001,131.0
NW,FF,1,2020-02-12T11:10,13N,453393,4431461,40.03208,-105.54626,249.3838383838384,233.59595959595958,241.489898989899,246.89,231.26000000000002,239.075,99.0
NW,FF,2,2020-02-12T11:45,13N,453410,4431465,40.03212,-105.54606,250.88659793814432,248.4020618556701,249.6443298969072,243.36,240.95000000000002,242.15500000000003,97.0
NW,OF ,3,2020-01-22T11:00,13N,452909,4431905,40.03606,-105.55197,250.39622641509433,252.22641509433961,251.31132075471697,132.71,133.68,133.195,53.0
NW,OF,1,2020-02-12T13:00,13N,452906,4431866,40.0357,-105.552,218.53846153846155,221.82417582417582,220.1813186813187,198.87,201.86,200.365,91.0
NW,OF,3,2020-02-12T12:54,13N,452888,4431886,40.03588,-105.55221,209.67567567567568,207.2972972972973,208.48648648648648,155.16,153.39999999999998,154.27999999999997,74.0
NW,OF,2,2020-02-12T13:10,13N,452901,4431878,40.03581,-105.55206,194.57627118644066,189.33898305084745,191.95762711864404,114.80000000000001,111.71000000000001,113.25500000000001,59.0
NW,FF,2,2020-03-11T09:20,13N,453318,4431439,40.03188,-105.54714,265.3414634146341,266.8048780487805,266.0731707317073,217.57999999999998,218.78000000000003,218.18,82.0
NW,FF,1,2020-03-11T09:45,13N,453320,453320,4.10115,-105.42057,279.52830188679246,278.4339622641509,278.9811320754717,296.29999999999995,295.14,295.71999999999997,106.0
NW,FF,3,2020-03-11T09:50,13N,453313,4431444,40.03193,-105.5472,262.6811594202899,262.0289855072464,262.3550724637681,181.25,180.8,181.025,69.0
NW,FN,1,2020-03-11T11:00,13N,452778,4431584,40.03316,-105.55348,267.0,263.2857142857143,265.1428571428571,280.34999999999997,276.45,278.4,105.0
NW,FN,2,2020-03-11T11:30,13N,452773,4431592,40.03323,-105.55354,260.8292682926829,266.4634146341463,263.6463414634146,213.88000000000002,218.5,216.19,82.0
NW,FN,3,2020-03-11T12:00,13N,452767,4431587,40.03318,-105.55361,304.2241379310345,298.2586206896552,301.2413793103448,352.9,345.98,349.44,116.0
NW,OF,2,2020-04-22T11:55,13N,452917,4431863,40.03568,-105.55187,330.873786407767,368.3009708737864,349.5873786407767,340.8,379.35,360.07500000000005,103.0
NW,OF,1,2020-03-11T11:00,13N,452898,4431871,40.03575,-105.55209,337.6385542168675,329.95180722891564,333.7951807228916,280.24,273.86,277.05,83.0
NW,FF,1,2020-05-13T09:55,13N,453353,4431394,40.03148,-105.54673,391.2340425531915,379.4468085106383,385.3404255319149,367.76,356.68,362.22,94.0
NW,OF,2,2020-03-11T11:18,13N,452907,4431864,40.03569,-105.55199,317.36842105263156,323.2631578947368,320.31578947368416,301.5,307.09999999999997,304.29999999999995,95.0
NW,OF,3,2020-03-11T11:45,13N,452914,4431869,40.03573,-105.5519,268.1186440677966,296.728813559322,282.4237288135593,158.19,175.07,166.63,59.0
NW,FF,1,2020-04-22T13:10,13N,453629,4431578,40.03315,-105.5435,308.4496124031008,308.984496124031,308.7170542635659,397.9,398.59000000000003,398.245,129.0
NW,OF,1,2020-04-22T10:54,13N,452917,4431863,40.03568,-105.55187,296.48387096774195,314.4516129032258,305.4677419354839,275.73,292.44,284.08500000000004,93.0
NW,FF,2,2020-05-13T10:30,13N,453357,453357,4.10148,-105.42023,405.53846153846155,423.0769230769231,414.3076923076923,210.88,220.0,215.44,52.0
NW,FF,3,2020-05-13T09:30,13N,453356,4431402,40.03155,-105.54669,383.1506849315069,410.4109589041096,396.7808219178082,279.7,299.6,289.65,73.0
NW,FN,2,2020-05-13T09:44,13N,452713,4431634,40.0336,-105.55424,329.67241379310343,361.5,345.58620689655174,382.41999999999996,419.3399999999999,400.87999999999994,116.0
NW,FN,1,2020-05-13T10:00,13N,452712,4431637,40.03363,-105.55426,357.54237288135596,359.23728813559325,358.3898305084746,421.9,423.9,422.9,118.0
NW,FN,3,2020-05-13T10:24,13N,452726,4431635,40.03361,-105.55409,382.82474226804123,379.92783505154637,381.3762886597938,371.34000000000003,368.53000000000003,369.93500000000006,97.0
NW,FN,4,2020-05-13T10:48,13N,452731,4431645,40.0337,-105.55403,368.4070796460177,381.7079646017699,375.0575221238938,416.30000000000007,431.33,423.81500000000005,113.0
NW,FS,1,2020-05-13T10:00,13N,452490,4432370,40.04022,-105.55691,451.34615384615387,444.15384615384613,447.75,234.7,230.96000000000004,232.83,52.0
NW,FS,2,2020-05-13T09:30,13N,452490,4432387,40.04037,-105.55691,374.2432432432432,376.7837837837838,375.51351351351354,276.94,278.82000000000005,277.88,74.0
NW,FS,3,2020-05-13T09:15,13N,452496,4432375,40.04027,-105.55684,362.0,374.1864406779661,368.0932203389831,213.58,220.76999999999998,217.175,59.0
NW,FS,4,2020-05-13T09:45,13N,452506,4432385,40.04036,-105.55672,404.57142857142856,404.0,404.2857142857143,283.2,282.79999999999995,283.0,70.0
NW,OF,1,2020-05-13T10:50,13N,452892,4431872,40.03576,-105.55216,419.6666666666667,430.8484848484849,425.25757575757575,276.98,284.36,280.67,66.0
NW,OF,3,2020-05-13T11:30,13N,452907,4431858,40.03563,-105.55199,384.15384615384613,394.6666666666667,389.4102564102564,149.82,153.92000000000002,151.87,39.0
NW,OF,4,2020-05-13T11:15,13N,452914,4431858,40.03563,-105.5519,391.1111111111111,366.0,378.55555555555554,176.0,164.7,170.35,45.0
NW,OF,1,2020-01-22T11:40,13N,452872,4431903,40.03604,-105.5524,256.2857142857143,217.78571428571428,237.03571428571428,71.75999999999999,60.980000000000004,66.37,28.0
NW,OF,2,2020-01-22T11:15,13N,452886,4431903,40.03604,-105.55224,248.13513513513513,246.78378378378378,247.45945945945945,91.81,91.31,91.56,37.0
NW,FN,1,2020-01-22T12:45,13N,452757,452757,4.09605,-105.42564,251.24657534246575,254.0,252.62328767123287,183.41,185.42000000000002,184.41500000000002,73.0
NW,FN,3,2020-01-22T13:00,13N,452786,4431582,40.03314,-105.55338,228.46268656716418,224.50746268656715,226.48507462686567,153.07,150.42000000000002,151.745,67.0
NW,FS,2,2020-01-22T14:25,13N,452485,4432379,40.0403,-105.55697,249.94805194805195,246.6103896103896,248.2792207792208,192.45999999999998,189.89000000000001,191.175,77.0
NW,FS,3,2020-01-22T14:00,13N,452491,4432381,40.04032,-105.5569,238.47368421052633,252.26315789473685,245.3684210526316,181.23999999999998,191.72,186.48,76.0
NW,FS,2,2020-03-11T10:45,13N,328389,4310494,38.92659,-106.97971,282.3939393939394,286.8686868686869,284.63131313131316,279.57,284.0,281.78499999999997,99.0
NW,FS,1,2020-03-11T10:00,13N,452462,4432383,40.04034,-105.55724,312.59183673469386,341.2040816326531,326.8979591836735,306.34,334.38,320.36,98.0
NW,FS,3,2020-03-11T11:10,13N,452462,4432373,40.04025,-105.55724,300.1707317073171,310.8048780487805,305.4878048780488,246.14,254.85999999999999,250.5,82.0
NW,OF,2,2020-05-13T11:00,13N,452897,4431870,40.03574,-105.5521,391.5405405405405,390.3783783783784,390.9594594594595,289.74,288.88,289.31,74.0
