# Location,CB
# Site,Aspen
# PitID,2
# Date/Local Time,2020-02-26T16:00
# UTM Zone,13N
# Easting,329127
# Northing,4310338
# Latitude,38.92533
# Longitude,-106.97116
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
107.0,97.0,135.0,124.0,NaN
97.0,87.0,220.0,206.0,NaN
87.0,77.0,252.0,244.0,NaN
77.0,67.0,270.0,286.0,NaN
67.0,57.0,299.0,302.0,NaN
57.0,47.0,285.0,269.0,NaN
47.0,37.0,283.0,295.0,NaN
37.0,27.0,310.0,308.0,NaN
27.0,17.0,316.0,305.0,NaN
17.0,7.0,320.0,324.0,NaN
