# Location,CB
# Site,F14
# PitID,2
# Date/Local Time,2020-04-28T10:45
# UTM Zone,13N
# Easting,328585
# Northing,4310766
# Latitude,38.92908
# Longitude,-106.97752
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
96.0,90.0,419.0,409.0,NaN
90.0,80.0,371.0,422.0,397.0
80.0,70.0,367.0,389.0,NaN
70.0,60.0,371.0,401.0,405.0
60.0,50.0,398.0,375.0,NaN
50.0,40.0,340.0,345.0,NaN
40.0,30.0,345.0,343.0,NaN
30.0,20.0,378.0,373.0,NaN
20.0,10.0,361.0,344.0,NaN
10.0,0.0,355.0,347.0,NaN
