# Location,CB
# Site,Upper
# PitID,3
# Date/Local Time,2020-02-26T14:00
# UTM Zone,13N
# Easting,327528
# Northing,4311272
# Latitude,38.93343
# Longitude,-106.98983
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
118.0,108.0,162.0,135.0,NaN
108.0,98.0,253.0,218.0,196.0
98.0,88.0,243.0,311.0,284.0
88.0,78.0,317.0,269.0,290.0
78.0,68.0,287.0,298.0,NaN
68.0,58.0,305.0,297.0,NaN
58.0,48.0,302.0,288.0,NaN
48.0,38.0,337.0,349.0,NaN
38.0,28.0,350.0,365.0,NaN
28.0,18.0,362.0,382.0,NaN
18.0,8.0,258.0,275.0,NaN
