# Location,NW
# Site,FF
# PitID,1
# Date/Local Time,2020-04-22T13:10
# UTM Zone,13N
# Easting,453629
# Northing,4431578
# Latitude,40.03315
# Longitude,-105.5435
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
129.0,119.0,192.0,199.0,NaN
119.0,109.0,211.0,210.0,NaN
109.0,99.0,279.0,281.0,NaN
99.0,89.0,292.0,292.0,NaN
89.0,79.0,315.0,328.0,NaN
79.0,69.0,371.0,382.0,NaN
69.0,59.0,366.0,375.0,NaN
59.0,49.0,401.0,381.0,NaN
49.0,39.0,313.0,317.0,NaN
39.0,29.0,303.0,313.0,NaN
29.0,19.0,328.0,355.0,NaN
19.0,9.0,320.0,291.0,NaN
