# Location,NW
# Site,FN
# PitID,3
# Date/Local Time,2020-03-11T12:00
# UTM Zone,13N
# Easting,452767
# Northing,4431587
# Latitude,40.03318
# Longitude,-105.55361
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
116.0,106.0,176.0,168.0,NaN
106.0,96.0,266.0,265.0,NaN
96.0,86.0,300.0,300.0,NaN
86.0,76.0,303.0,330.0,NaN
76.0,66.0,352.0,340.0,NaN
66.0,56.0,342.0,330.0,NaN
56.0,46.0,317.0,317.0,NaN
46.0,36.0,313.0,318.0,NaN
36.0,26.0,328.0,304.0,NaN
26.0,16.0,320.0,303.0,NaN
16.0,6.0,NaN,NaN,NaN
