# Location,NW
# Site,FS
# PitID,3
# Date/Local Time,2020-02-12T10:40
# UTM Zone,13N
# Easting,452480
# Northing,4432355
# Latitude,40.04009
# Longitude,-105.55703
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
106.0,96.0,111.0,108.0,NaN
96.0,86.0,163.0,157.0,NaN
86.0,76.0,149.0,156.0,NaN
76.0,66.0,203.0,206.0,NaN
66.0,56.0,252.0,238.0,NaN
56.0,46.0,231.0,233.0,NaN
46.0,36.0,271.0,270.0,NaN
36.0,26.0,325.0,308.0,NaN
26.0,16.0,295.0,298.0,NaN
16.0,6.0,274.0,258.0,NaN
