Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Precipitation,Sky,Wind,Ground Condition,Ground Roughness,Ground Vegetation,Depth of Ground Vegetation (cm),Canopy
Boise River Basin,Banner Open,IDBRBO,2019-12-18T14:24,11N,640699,4907213,44.30455,-115.23604,None,Overcast(complete cover),Calm,Frozen,Smooth,Grass,3,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-01-09T14:11,11N,640699,4907213,44.30455,-115.23604,None,Few (< 1/4 of sky),Light,Frozen,Smooth,Grass,5,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-01-23T14:30,11N,640699,4907213,44.30455,-115.23604,Very Light,Overcast(complete cover),Calm,Frozen,Smooth,Grass,,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-01-30T13:40,11N,640699,4907213,44.30455,-115.23604,None,Clear,Calm,Frozen,Smooth,Bare | Grass,5,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-02-06T13:00,11N,640699,4907213,44.30455,-115.23604,Light,Overcast(complete cover),Calm,Frozen,Smooth,Grass,5,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-02-13T12:30,11N,640699,4907213,44.30455,-115.23604,None,Clear,Calm,Frozen,Smooth,Grass,10,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-02-19T12:22,11N,640699,4907213,44.30455,-115.23604,None,Clear,Calm,Moist,Smooth,Grass,8,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-02-27T12:40,11N,640699,4907213,44.30455,-115.23604,None,Clear,Calm,Frozen,Smooth,Shrub,8,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-03-05T12:45,11N,640699,4907213,44.30455,-115.23604,None,Few (< 1/4 of sky),Light,Frozen,Smooth,Grass | Shrub,7 | 10,No Trees
Boise River Basin,Banner Open,IDBRBO,2020-03-12T13:15,11N,640699,4907213,44.30455,-115.23604,None,Clear,Calm,Frozen,Smooth,Grass | Shrub,5 | 6,No Trees
Boise River Basin,Banner Snotel,IDBRBS,2019-12-18T10:00,11N,640819,4907111,44.30361,-115.23456,None,Scattered (1/4 - 1/2 of sky),Calm,Frozen,Smooth,Grass,5,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-01-09T10:30,11N,640819,4907111,44.30361,-115.23456,Very Light,Few (< 1/4 of sky),Calm,Frozen,Smooth,Grass | Deadfall,5,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-01-23T11:00,11N,640819,4907111,44.30361,-115.23456,None,Overcast(complete cover),Calm,Frozen,Smooth,Grass | Deadfall,10,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-01-30T12:00,11N,640819,4907111,44.30361,-115.23456,None,Clear,Calm,Frozen,Rough,Grass,5,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-02-06T12:00,11N,640819,4907111,44.30361,-115.23456,Light,Overcast(complete cover),Calm,Frozen,Smooth,Bare | Grass,5,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-02-13T11:30,11N,640819,4907111,44.30361,-115.23456,None,Clear,Calm,Frozen,Rough,Bare,,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-02-19T10:45,11N,640819,4907111,44.30361,-115.23456,None,Clear,Light,Frozen,Smooth,Bare | Grass,5,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-02-27T10:30,11N,640819,4907111,44.30361,-115.23456,None,Clear,Calm,Frozen,Smooth,Bare,,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-03-05T10:40,11N,640819,4907111,44.30361,-115.23456,None,Few (< 1/4 of sky),Calm,Frozen,Smooth,Bare,,Sparse (5-20%)
Boise River Basin,Banner Snotel,IDBRBS,2020-03-12T11:00,11N,640819,4907111,44.30361,-115.23456,None,Clear,Calm,Frozen,Smooth,Grass,11,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2019-12-19T10:00,11N,573240,4845491,43.75884,-116.09017,Light,Overcast(complete cover),Light,Moist,Smooth,Shrub,8-12,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-01-08T11:55,11N,573240,4845491,43.75884,-116.09017,Very Light,Overcast(complete cover),Light,Moist,Rough,Shrub,30-50,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-01-16T11:00,11N,573240,4845491,43.75884,-116.09017,None,Broken (> 1/2 of sky),Strong,Frozen,Rough,Grass,,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-01-24T13:15,11N,573240,4845491,43.75884,-116.09017,None,Overcast(complete cover),Light,Moist,Smooth,Grass | Shrub,4,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-01-31T13:30,11N,573240,4845491,43.75884,-116.09017,None,Overcast(complete cover),Light,Moist,Smooth,Grass,6,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-02-07T12:30,11N,573240,4845491,43.75884,-116.09017,None,Overcast(complete cover),Light,Moist,Smooth,Grass | Shrub,5-10,Sparse (5-20%)
