Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Density A Mean (kg/m^3),Density B Mean (kg/m^3),Density Mean (kg/m^3),SWE A (mm),SWE B (mm),SWE (mm),Snow Depth (cm)
Boise River Basin,Banner Open,IDBRBO,2019-12-18T14:24,11N,640699,4907213,44.30455,-115.23604,278.1219512195122,278.1219512195122,278.1219512195122,114.03,114.03,114.03,41.0
Boise River Basin,Banner Open,IDBRBO,2020-01-09T14:11,11N,640699,4907213,44.30455,-115.23604,157.96703296703296,157.96703296703296,157.96703296703296,143.75,143.75,143.75,91.0
Boise River Basin,Banner Open,IDBRBO,2020-01-23T14:30,11N,640699,4907213,44.30455,-115.23604,271.5135135135135,276.2882882882883,273.90090090090087,301.38,306.68,304.03,111.0
Boise River Basin,Banner Open,IDBRBO,2020-01-30T13:40,11N,640699,4907213,44.30455,-115.23604,239.66535433070865,239.66535433070865,239.66535433070865,304.375,304.375,304.375,127.0
Boise River Basin,Banner Open,IDBRBO,2020-02-06T13:00,11N,640699,4907213,44.30455,-115.23604,252.72727272727272,257.6515151515151,255.18939393939394,333.59999999999997,340.1,336.85,132.0
Boise River Basin,Banner Open,IDBRBO,2020-02-13T12:30,11N,640699,4907213,44.30455,-115.23604,279.09375,278.53125,278.8125,357.24000000000007,356.52000000000004,356.88000000000005,128.0
Boise River Basin,Banner Open,IDBRBO,2020-02-19T12:22,11N,640699,4907213,44.30455,-115.23604,282.8181818181818,277.8939393939394,280.3560606060606,373.32,366.82,370.07,132.0
Boise River Basin,Banner Open,IDBRBO,2020-02-27T12:40,11N,640699,4907213,44.30455,-115.23604,298.03225806451616,302.2096774193548,300.1209677419355,369.55999999999995,374.73999999999995,372.15,124.0
Boise River Basin,Banner Open,IDBRBO,2020-03-05T12:45,11N,640699,4907213,44.30455,-115.23604,316.6521739130435,324.0,320.32608695652175,364.15000000000003,372.6,368.375,115.0
Boise River Basin,Banner Open,IDBRBO,2020-03-12T13:15,11N,640699,4907213,44.30455,-115.23604,326.1525423728813,325.0169491525424,325.58474576271186,384.86,383.5199999999999,384.18999999999994,118.0
Boise River Basin,Banner Snotel,IDBRBS,2019-12-18T10:00,11N,640819,4907111,44.30361,-115.23456,201.61702127659575,205.38297872340425,203.5,94.75999999999999,96.53,95.645,47.0
Boise River Basin,Banner Snotel,IDBRBS,2020-01-09T10:30,11N,640819,4907111,44.30361,-115.23456,192.09677419354838,196.3978494623656,194.247311827957,178.65000000000003,182.65,180.65000000000003,93.0
Boise River Basin,Banner Snotel,IDBRBS,2020-01-23T11:00,11N,640819,4907111,44.30361,-115.23456,237.04347826086956,251.69565217391303,244.3695652173913,272.59999999999997,289.45,281.025,115.0
Boise River Basin,Banner Snotel,IDBRBS,2020-01-30T12:00,11N,640819,4907111,44.30361,-115.23456,255.23664122137404,253.33587786259542,254.28625954198475,334.36000000000007,331.87,333.115,131.0
Boise River Basin,Banner Snotel,IDBRBS,2020-02-06T12:00,11N,640819,4907111,44.30361,-115.23456,261.0,258.6666666666667,259.83333333333337,352.34999999999997,349.2,350.775,135.0
Boise River Basin,Banner Snotel,IDBRBS,2020-02-13T11:30,11N,640819,4907111,44.30361,-115.23456,281.82089552238807,280.7014925373134,281.26119402985074,377.64,376.14,376.89,134.0
Boise River Basin,Banner Snotel,IDBRBS,2020-02-19T10:45,11N,640819,4907111,44.30361,-115.23456,285.7142857142857,279.57142857142856,282.6428571428571,400.0,391.4,395.7,140.0
Boise River Basin,Banner Snotel,IDBRBS,2020-02-27T10:30,11N,640819,4907111,44.30361,-115.23456,302.9172932330827,304.23308270676694,303.57518796992485,402.88,404.63,403.755,133.0
Boise River Basin,Banner Snotel,IDBRBS,2020-03-05T10:40,11N,640819,4907111,44.30361,-115.23456,326.3174603174603,330.3015873015873,328.3095238095238,411.15999999999997,416.18,413.66999999999996,126.0
Boise River Basin,Banner Snotel,IDBRBS,2020-03-12T11:00,11N,640819,4907111,44.30361,-115.23456,321.8045112781955,326.81954887218046,324.312030075188,427.99999999999994,434.66999999999996,431.3349999999999,133.0
Boise River Basin,Bogus Upper,IDBRBU,2019-12-19T10:00,11N,573240,4845491,43.75884,-116.09017,250.6315789473684,244.2982456140351,247.46491228070175,142.85999999999999,139.25,141.055,57.0
Boise River Basin,Bogus Upper,IDBRBU,2020-01-08T11:55,11N,573240,4845491,43.75884,-116.09017,273.52941176470586,266.02941176470586,269.77941176470586,185.99999999999997,180.9,183.45,68.0
