# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-19T12:22
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
132.0,122.0,114.66666666666667,1.108,1.107,0.0,0.0
122.0,112.0,161.0,1.189,1.148,0.0,0.0
112.0,102.0,191.5,1.227,1.235,0.0,0.0
102.0,92.0,230.5,1.292,1.307,0.0,0.0
92.0,82.0,257.5,1.368,1.367,0.0,0.0
82.0,72.0,274.0,1.363,1.384,0.0,0.0
72.0,62.0,316.0,1.489,1.471,0.05652478395229891,0.0
62.0,52.0,350.5,1.536,1.527,0.0,0.0
52.0,42.0,362.0,1.575,1.563,0.05704729087555833,0.0
42.0,32.0,370.0,1.559,1.557,0.0,0.0
32.0,22.0,336.0,1.465,1.499,0.0,0.0
22.0,12.0,333.5,1.499,1.483,0.0,0.0
12.0,2.0,NaN,1.466,1.412,NaN,NaN
