# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-03-05T12:45
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
115.0,105.0,239.0,228.0,NaN
105.0,95.0,223.0,232.0,NaN
95.0,85.0,275.0,273.0,NaN
85.0,75.0,290.0,302.0,NaN
75.0,65.0,326.0,328.0,NaN
65.0,55.0,352.0,354.0,NaN
55.0,45.0,364.0,375.0,NaN
45.0,35.0,380.0,378.0,NaN
35.0,25.0,364.0,393.0,NaN
25.0,15.0,338.0,338.0,NaN
15.0,5.0,327.0,350.0,353.0
