# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-01-30T12:00
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
131.0,121.0,113.5,NaN,NaN,NaN,NaN
121.0,111.0,117.5,NaN,NaN,NaN,NaN
111.0,101.0,135.5,NaN,NaN,NaN,NaN
101.0,91.0,158.5,NaN,NaN,NaN,NaN
91.0,81.0,200.5,NaN,NaN,NaN,NaN
81.0,71.0,250.5,NaN,NaN,NaN,NaN
71.0,61.0,275.0,NaN,NaN,NaN,NaN
61.0,51.0,299.0,NaN,NaN,NaN,NaN
54.0,41.0,318.0,NaN,NaN,NaN,NaN
41.0,31.0,314.0,NaN,NaN,NaN,NaN
31.0,21.0,297.5,NaN,NaN,NaN,NaN
21.0,11.0,311.5,NaN,NaN,NaN,NaN
15.0,5.0,296.5,NaN,NaN,NaN,NaN
