# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-02-06T12:00
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
135.0,125.0,114.0,104.0,NaN
125.0,115.0,117.0,115.0,NaN
115.0,105.0,177.0,173.0,NaN
105.0,95.0,188.0,187.0,NaN
95.0,85.0,225.0,212.0,NaN
85.0,75.0,259.0,268.0,NaN
75.0,65.0,309.0,302.0,NaN
65.0,55.0,328.0,331.0,NaN
55.0,45.0,343.0,338.0,NaN
45.0,35.0,334.0,332.0,NaN
35.0,25.0,325.0,317.0,NaN
25.0,15.0,323.0,327.0,NaN
15.0,5.0,321.0,324.0,NaN
