# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-14T12:30
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
136.0,126.0,314.5,1.433,1.451,0.0,0.0
126.0,116.0,347.6666666666667,1.536,1.479,0.0,0.0
116.0,106.0,254.0,1.308,1.311,0.0,0.0
106.0,96.0,269.5,1.418,1.412,0.11582111989488142,0.08516227278058984
96.0,86.0,278.0,1.352,1.395,0.0,0.0
86.0,76.0,319.5,1.42,1.438,0.0,0.0
76.0,66.0,336.0,1.472,1.477,0.0,0.0
66.0,56.0,352.0,1.461,1.498,0.0,0.0
56.0,46.0,370.5,1.538,1.553,0.0,0.0
46.0,36.0,365.5,1.552,1.581,0.0,0.053404274331418804
36.0,26.0,377.0,1.621,1.548,0.14532832946578836,0.0
26.0,16.0,367.0,1.619,1.534,0.23461968544790587,0.0
16.0,6.0,371.5,1.588,1.519,0.029899551634035293,0.0
