# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-20T11:00
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
147.0,144.0,1-2 mm,DF,F,D,NaN
144.0,127.0,1-2 mm,DF,F,D,NaN
127.0,125.0,1-2 mm,MFCR,K,D,"Crust, no light coming through sample, some facets"
125.0,109.0,1-2 mm,RG,1F,D,NaN
109.0,107.0,1-2 mm,MFCR,K,D,"Crust, no light coming through sample"
107.0,100.0,1-2 mm,RG,4F,D,NaN
100.0,98.0,1-2 mm,MFCR,K,D,"Crust, no light coming through sample"
98.0,78.0,1-2 mm,RG,1F,D,NaN
78.0,75.0,1-2 mm,IF,1F,D,"Intermittent ice is knife (K) hardness. Variable icy layer, combo of rounds, early facets"
75.0,58.0,< 1 mm,RG,1F,D,NaN
58.0,34.0,< 1 mm,RG,P,D,NaN
34.0,0.0,1-2 mm,FC,1F,D,Sugary
