# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-26T14:45
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
138.0,135.0,< 1 mm,"RG
",F,W,NaN
135.0,122.5,< 1 mm,"RG
",F,M,More decomposing forms than in the top layer
122.5,120.5,1-2 mm,MFCR,K,[],Icy layer not transparent 
120.5,104.5,< 1 mm,RG,4F,D,Some facets
104.5,103.5,< 1 mm,MFCR,K,[],"Ice layer, not trasparent with some transparent lenses "
103.5,96.5,1-2 mm,RG,4F,D,NaN
96.5,95.0,[],IF,1F,[],"Thin ice layer, discontinuous and transparent. No grain size"
95.0,78.5,1-2 mm,RG,4F,D,Some facets
78.5,77.5,1-2 mm,MFCR,1F,[],Thin ice layer
77.5,60.0,1-2 mm,RG,1F,D,Early facets
60.0,25.0,< 1 mm,FC,P,D,NaN
25.0,0.0,< 1 mm,FC,4F,D,NaN
