# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-03-11T15:00
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
112.0,102.0,317.0,343.0,297.0
102.0,92.0,382.0,400.0,NaN
92.0,82.0,399.0,357.0,395.0
82.0,72.0,350.0,342.0,NaN
72.0,62.0,359.0,370.0,NaN
62.0,52.0,373.0,379.0,NaN
52.0,42.0,383.0,375.0,NaN
42.0,32.0,403.0,386.0,NaN
32.0,22.0,361.0,389.0,NaN
22.0,12.0,345.0,384.0,NaN
12.0,2.0,NaN,NaN,NaN
