# Location,Boise River Basin
# Site,Mores Creek Summit
# PitID,IDBRMC
# Date/Local Time,2020-02-12T11:00
# UTM Zone,11N
# Easting,606192
# Northing,4866876
# Latitude,43.94735
# Longitude,-115.67666
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
270.0,260.0,228.0,NaN,NaN,NaN,NaN
260.0,250.0,236.0,NaN,NaN,NaN,NaN
250.0,240.0,184.0,NaN,NaN,NaN,NaN
240.0,230.0,204.0,NaN,NaN,NaN,NaN
230.0,220.0,244.0,NaN,NaN,NaN,NaN
220.0,210.0,248.0,NaN,NaN,NaN,NaN
210.0,200.0,284.0,NaN,NaN,NaN,NaN
200.0,190.0,296.0,NaN,NaN,NaN,NaN
190.0,180.0,296.0,NaN,NaN,NaN,NaN
180.0,170.0,312.0,NaN,NaN,NaN,NaN
170.0,160.0,296.0,NaN,NaN,NaN,NaN
160.0,150.0,308.0,NaN,NaN,NaN,NaN
150.0,140.0,320.0,NaN,NaN,NaN,NaN
140.0,130.0,344.0,NaN,NaN,NaN,NaN
130.0,120.0,360.0,NaN,NaN,NaN,NaN
120.0,110.0,348.0,NaN,NaN,NaN,NaN
110.0,100.0,328.0,NaN,NaN,NaN,NaN
100.0,90.0,336.0,NaN,NaN,NaN,NaN
90.0,80.0,372.0,NaN,NaN,NaN,NaN
80.0,70.0,364.0,NaN,NaN,NaN,NaN
70.0,60.0,356.0,NaN,NaN,NaN,NaN
60.0,50.0,356.0,NaN,NaN,NaN,NaN
50.0,40.0,344.0,NaN,NaN,NaN,NaN
40.0,30.0,360.0,NaN,NaN,NaN,NaN
30.0,20.0,324.0,NaN,NaN,NaN,NaN
20.0,10.0,332.0,NaN,NaN,NaN,NaN
10.0,0.0,400.0,NaN,NaN,NaN,NaN
