Latitude,Longitude,Date/Local Time,Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,AVG HN (cm),SWE (mm) A,SWE (mm) B,SWE (mm) C,AVG SWE (mm),Melt,Comments
43.75884,-116.09017,2020-01-08 11:55:00,1,IDBRBU,ID,Boise River Basin,Bogus Upper,20.0,19.2,19.4,19.5,35.0,36.0,34.0,35.0,No, 
44.30455,-115.23604,2020-01-09 14:11:00,1,IDBRBO,ID,Boise River Basin,Banner Open,62.0,62.5,62.0,62.2,62.0,54.0,64.0,60.0,No, 
44.30361,-115.23456,2020-01-09 10:30:00,1,IDBRBS,ID,Boise River Basin,Banner Snotel,62.5,62.0,62.0,62.2,72.0,64.0,67.0,67.7,No,too much snow for SWE tube - snow was compressed for each sample and then weighed. 
43.75884,-116.09017,2020-01-16 11:00:00,2,IDBRBU,ID,Boise River Basin,Bogus Upper,49.0,48.0,49.0,48.7,93.0,100.0,94.0,95.7,No,deep snow on board; 2 tube measurments for each sample.
38.95925,-106.99052,2020-01-17 10:15:00,2,COERGT,CO,East River,Gothic,38.0,35.0,36.0,36.3,56.0,55.0,54.0,55.0,No, 
38.88812,-107.10796,2020-01-22 12:00:00,3,COERIB,CO,East River,Irwin Barn,63.0,66.0,64.0,64.3,65.0,75.0,76.0,72.0,No,"mix up - board wasn't cleared since 12/19, HN recorded as 10cm on 1/17, but board wasn't cleared"
39.03053,-108.03217,2020-01-22 10:15:00,3,COGMCO,CO,Grand Mesa,County Line Open,51.0,50.0,51.0,50.7,130.5,128.0,129.5,129.3,No, 
39.04415,-108.06202,2020-01-22 14:55:00,3,COGMSO,CO,Grand Mesa,Skyway Open,46.0,45.0,46.0,45.7,129.0,126.0,130.0,128.3,No, 
40.03317,-105.54616,2020-01-22 11:45:00,3,CONWC1,CO,Niwot Ridge,C1,15.0,15.0,16.0,15.3,20.6,21.5,23.4,21.8,No,"no SWE tube yet, measured with density cutter"
37.90714,-107.71121,2020-01-22 12:35:00,3,COSBSA,CO,Senator Beck,Swamp Angel,75.0,76.0,76.0,75.7,142.0,147.0,145.0,144.7,No, 
43.73702,-116.12184,2020-01-22 15:12:00,3,IDBRLO,ID,Boise River Basin,LDP Open,2.0, , ,2.0, , , , ,No, 
35.85793,-106.52137,2020-01-22 11:15:00,3,NMJRHQ,NM,Jemez River,HQ Met Station,39.0,40.0,40.0,39.7, , , , ,No, 
44.30455,-115.23604,2020-01-23 14:30:00,3,IDBRBO,ID,Boise River Basin,Banner Open,53.0, , ,53.0,88.0, , ,88.0,No,"Forgot SWE tube, instead did extra density measurements. HN=53cm, avg density=166kg/m3; (53x166)/100=88mm SWE.  "
44.30361,-115.23456,2020-01-23 11:00:00,3,IDBRBS,ID,Boise River Basin,Banner Snotel,58.0, , ,58.0,102.0, , ,102.0,No,"forgot SWE tube, instead did density measurements (small 250cc cutter) to solve for SWE; HN=58cm, avg. density=175kg/m3 - (58cm x 175kg/m3)/100 = 102 mm SWE.  "
40.53262,-105.88783,2020-01-24 11:35:00,3,COCPJW,CO,Cameron Pass,Joe Wright,50.0,50.5,50.5,50.3,98.0,95.0,96.0,96.3,No,"SWE interval board installed at 424807 E, 4487254 N, Zone 13N. Approximately 1 km from COCPJW Pit, but near Joe Wright SNOTEL Station. 
SWE measurement taken at 15:30 MST"
40.51865,-105.89196,2020-01-24 11:15:00,3,COCPMR,CO,Cameron Pass,Michigan River,4.2,4.2,5.0,4.5,6.0,5.5,11.0,7.5,No, 
38.95925,-106.99052,2020-01-24 12:05:00,3,COERGT,CO,East River,Gothic,14.0,14.0,14.0,14.0,17.0,18.0,18.0,17.7,No, 
43.75884,-116.09017,2020-01-24 13:15:00,3,IDBRBU,ID,Boise River Basin,Bogus Upper,7.5,7.5,8.0,7.7,16.0,15.0,16.0,15.7,Yes,"melt on interval board was bottom 3cm, very distinct."
39.42955,-120.24211,2020-01-29 10:53:00,4,CASHFO,CA,Sagehen,Forest,9.0,10.0,9.0,9.3,22.0,22.0,25.0,23.0,Yes, 
39.43037,-120.23982,2020-01-29 10:57:00,4,CASHOP,CA,Sagehen,Open,14.0,14.0,14.0,14.0,53.0,51.0,52.0,52.0,Yes, 
38.95925,-106.99052,2020-01-29 09:40:00,4,COERGT,CO,East River,Gothic,2.0,2.0,4.0,2.7,3.0,3.0,4.0,3.3,No, 
38.88812,-107.10796,2020-01-29 11:45:00,4,COERIB,CO,East River,Irwin Barn,25.0,25.0,25.5,25.2,36.0,35.0,37.0,36.0,No, 
40.03317,-105.54616,2020-01-29 10:20:00,4,CONWC1,CO,Niwot Ridge,C1,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.0,No, 
40.05497,-105.59065,2020-01-29 10:30:00,4,CONWSA,CO,Niwot Ridge,Saddle,20.0,21.0,20.0,20.3,64.0,67.0,63.0,64.7,No, 
37.90714,-107.71121,2020-01-29 12:05:00,4,COSBSA,CO,Senator Beck,Swamp Angel,28.0,27.0,28.0,27.7,30.0,29.0,31.0,30.0,No, 
35.88859,-106.53184,2020-01-29 11:19:00,4,NMJRBA,NM,Jemez River,BA Flux Tower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No, 
35.85793,-106.52137,2020-01-29 10:26:00,4,NMJRHQ,NM,Jemez River,HQ Met Station,0.25,0.75,0.75,0.6,0.05,0.1,0.1,0.1,Yes,Melt evidence on interval board likely from snow blown onto board and not new snowfall.
44.30455,-115.23604,2020-01-30 13:40:00,4,IDBRBO,ID,Boise River Basin,Banner Open,36.0,37.0,36.0,36.3,44.0,45.0,45.0,44.7,No, 
44.30361,-115.23456,2020-01-30 12:00:00,4,IDBRBS,ID,Boise River Basin,Banner Snotel,34.5,35.0,34.5,34.7,42.0,42.0,42.0,42.0,No, 
40.53262,-105.88783,2020-01-31 10:00:00,4,COCPJW,CO,Cameron Pass,Joe Wright,38.0,38.0,38.0,38.0,31.0,30.0,29.0,30.0,No, 
40.51865,-105.89196,2020-01-31 12:00:00,4,COCPMR,CO,Cameron Pass,Michigan River,23.0,24.0,24.0,23.7,23.0,23.0,22.0,22.7,No, 
39.03053,-108.03217,2020-01-31 08:30:00,4,COGMCO,CO,Grand Mesa,County Line Open,5.4,5.4,6.0,5.6,9.0,9.0,11.0,9.7,No, 
39.04415,-108.06202,2020-01-31 12:25:00,4,COGMSO,CO,Grand Mesa,Skyway Open,5.6,5.8,6.0,5.8,10.0,12.0,12.0,11.3,Yes, 
43.75884,-116.09017,2020-01-31 13:30:00,4,IDBRBU,ID,Boise River Basin,Bogus Upper,30.0,30.0,29.0,29.7,62.0,50.0,51.0,54.3,No, 
43.73702,-116.12184,2020-01-31 09:26:00,4,IDBRLO,ID,Boise River Basin,LDP Open,20.0,20.0,19.0,19.7,39.2,40.0,38.0,39.1,No,"used 250 cc density cutter to get density, then calculated SWE. "
43.73634,-116.12052,2020-01-31 11:15:00,4,IDBRLT,ID,Boise River Basin,LDP Tree,9.0, , ,9.0, , , , ,No, 
37.90705,-107.72625,2020-02-01 09:50:00,4,COSBSB,CO,Senator Beck,Senator Beck,23.0,25.0,28.0,25.3,51.0,63.0,67.0,60.3,No,Storm board initially placed 2020-01-12; wind slab
38.95925,-106.99052,2020-02-05 09:45:00,5,COERGT,CO,East River,Gothic,3.5,3.75,4.5,3.9,4.0,4.0,4.5,4.2,No, 
38.88812,-107.10796,2020-02-05 11:40:00,5,COERIB,CO,East River,Irwin Barn,8.0,7.0,8.0,7.7,7.5,7.5,9.5,8.2,Yes,"SWE tube tare = 0.5 mm, subtracted in field from total."
40.03317,-105.54616,2020-02-05 10:20:00,5,CONWC1,CO,Niwot Ridge,C1,15.25,16.5,16.5,16.1,25.0,25.0,25.0,25.0,No, 
35.88859,-106.53184,2020-02-05 11:14:00,5,NMJRBA,NM,Jemez River,BA Flux Tower,2.0,2.5,3.0,2.5, , , , ,No, 
35.85793,-106.52137,2020-02-05 11:00:00,5,NMJRHQ,NM,Jemez River,HQ Met Station,1.4,1.8,2.8,2.0,2.5,3.0,5.0,3.5,No, 
