# Location,American
# Site,Caples Lake
# PitID,CAAMCL
# Date/Local Time,2020-01-31T12:15
# UTM Zone,10N
# Easting,757217
# Northing,4288782
# Latitude,38.71029
# Longitude,-120.04186
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
135.0,125.0,271.6666666666667,NaN,NaN,NaN,NaN
125.0,115.0,236.0,NaN,NaN,NaN,NaN
115.0,105.0,261.5,NaN,NaN,NaN,NaN
105.0,95.0,287.5,NaN,NaN,NaN,NaN
95.0,85.0,321.0,NaN,NaN,NaN,NaN
85.0,75.0,350.0,NaN,NaN,NaN,NaN
75.0,65.0,348.5,NaN,NaN,NaN,NaN
65.0,55.0,370.0,NaN,NaN,NaN,NaN
55.0,45.0,375.5,NaN,NaN,NaN,NaN
45.0,35.0,388.5,NaN,NaN,NaN,NaN
35.0,25.0,399.5,NaN,NaN,NaN,NaN
20.0,10.0,421.0,NaN,NaN,NaN,NaN
