# Location,American
# Site,Caples Lake
# PitID,CAAMCL
# Date/Local Time,2020-02-14T12:00
# UTM Zone,10N
# Easting,757217
# Northing,4288782
# Latitude,38.71029
# Longitude,-120.04186
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
123.0,113.0,262.0,264.0,NaN
113.0,103.0,295.0,297.0,NaN
103.0,93.0,288.0,300.0,NaN
93.0,83.0,389.0,318.0,310.0
83.0,73.0,343.0,346.0,NaN
73.0,63.0,346.0,341.0,NaN
63.0,53.0,363.0,374.0,NaN
53.0,43.0,385.0,381.0,NaN
43.0,33.0,387.0,395.0,NaN
33.0,23.0,399.0,408.0,NaN
23.0,13.0,427.0,424.0,NaN
20.0,10.0,432.0,427.0,NaN
