# Location,Mammoth Lakes
# Site,CUES Study Plot
# PitID,CAMLCP
# Date/Local Time,2020-03-04T10:28
# UTM Zone,11N
# Easting,320985
# Northing,4168170
# Latitude,37.64325
# Longitude,-119.02906
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,208.0,202.0,NaN
90.0,80.0,294.0,322.0,NaN
80.0,70.0,374.0,383.0,NaN
70.0,60.0,356.0,348.0,NaN
60.0,50.0,403.0,366.0,387.0
50.0,40.0,363.0,364.0,NaN
40.0,30.0,380.0,388.0,NaN
30.0,20.0,447.0,447.0,NaN
20.0,10.0,451.0,448.0,NaN
10.0,0.0,423.0,421.0,NaN
