# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2019-12-18T11:28
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
130.0,120.0,330.0,1.533,NaN,0.15059178055000014,NaN
120.0,110.0,350.0,1.564,NaN,0.11788318722173463,NaN
110.0,100.0,421.5,1.832,NaN,0.7818318822304755,NaN
100.0,90.0,408.5,1.606,NaN,0.0,NaN
90.0,80.0,356.0,1.568,NaN,0.07993459677445844,NaN
80.0,70.0,309.5,1.5,NaN,0.17350899806940703,NaN
70.0,60.0,369.0,1.67,NaN,0.4779585033149247,NaN
60.0,50.0,369.0,1.543,NaN,0.0,NaN
50.0,40.0,384.0,1.59,NaN,0.0,NaN
40.0,30.0,365.5,1.543,NaN,0.0,NaN
30.0,20.0,353.5,1.561,NaN,0.06831192349317984,NaN
20.0,10.0,367.5,NaN,NaN,NaN,NaN
