# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2020-02-12T10:29
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,397.0,398.0,NaN
90.0,80.0,358.0,396.0,NaN
80.0,70.0,428.0,392.0,NaN
70.0,60.0,378.0,399.0,NaN
60.0,50.0,409.0,408.0,NaN
50.0,40.0,398.0,406.0,NaN
40.0,30.0,437.0,425.0,NaN
30.0,20.0,424.0,426.0,NaN
20.0,10.0,408.0,389.0,NaN
10.0,0.0,NaN,NaN,NaN
