# Location,Sagehen
# Site,Tower 4
# PitID,CASHT4
# Date/Local Time,2020-01-29T14:15
# UTM Zone,10N
# Easting,732507
# Northing,4367108
# Latitude,39.42216
# Longitude,-120.29898
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
120.0,110.0,219.0,1.285,1.205,0.0,0.0
110.0,100.0,289.0,1.491,1.375,0.31495859507405655,0.0
100.0,90.0,326.0,1.373,1.611,0.0,0.5892148277084823
90.0,80.0,329.5,1.436,1.5,0.0,0.0
80.0,70.0,357.5,1.598,1.523,0.21988203801250947,0.0
70.0,60.0,386.5,1.551,1.731,0.0,0.618187193040441
60.0,50.0,401.0,1.836,1.697,1.014147551448861,0.29478380858882247
50.0,40.0,376.6666666666667,1.683,1.674,0.46885582548893934,0.42238346876338295
40.0,30.0,389.0,1.72,1.809,0.5360953527043232,0.9960815036878709
30.0,20.0,382.5,1.874,1.782,1.3967871952458244,0.9217991867013565
20.0,10.0,399.0,1.756,1.722,0.6206452423009088,0.444699766980708
10.0,0.0,433.0,1.684,1.771,0.0,0.34405928015914505
