# Location,Sagehen
# Site,Tower 4
# PitID,CASHT4
# Date/Local Time,2020-02-12T10:50
# UTM Zone,10N
# Easting,732507
# Northing,4367108
# Latitude,39.42216
# Longitude,-120.29898
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
105.0,95.0,357.0,334.0,NaN
95.0,85.0,355.0,350.0,NaN
85.0,75.0,347.0,373.0,NaN
75.0,65.0,399.0,375.0,NaN
65.0,55.0,369.0,372.0,NaN
55.0,45.0,408.0,394.0,NaN
45.0,35.0,385.0,404.0,NaN
35.0,25.0,388.0,386.0,NaN
25.0,15.0,402.0,386.0,NaN
15.0,5.0,397.0,397.0,NaN
