# Location,Sagehen
# Site,Tower 4
# PitID,CASHT4
# Date/Local Time,2020-02-12T10:50
# UTM Zone,10N
# Easting,732507
# Northing,4367108
# Latitude,39.42216
# Longitude,-120.29898
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
105.0,99.0,2-4 mm,RG,1F,W,NaN
99.0,98.0,[],IF,K,D,Changed MF grain type to IF after talking to surveryors who marked it incorrectly
98.0,93.0,2-4 mm,RG,P,W,NaN
93.0,92.0,[],IF,K,D,Changed MF grain type to IF after talking to surveryors who marked it incorrectly
92.0,88.0,1-2 mm,RG,1F,W,NaN
88.0,83.0,1-2 mm,RG,1F,W,NaN
83.0,62.0,1-2 mm,RG,P,W,NaN
62.0,44.0,1-2 mm,RG,P,W,NaN
44.0,43.0,[],IF,K,D,Changed MF grain type to IF after talking to surveryors who marked it incorrectly
43.0,39.0,1-2 mm,RG,P,M,NaN
39.0,38.0,[],IF,K,D,Changed MF grain type to IF after talking to surveryors who marked it incorrectly
38.0,0.0,1-2 mm,RG,P,M,NaN
