# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-03-11T10:00
# UTM Zone,13N
# Easting,424321
# Northing,4486308
# Latitude,40.52405
# Longitude,-105.89345
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
158.0,148.0,159.5,NaN,NaN,NaN,NaN
148.0,138.0,307.5,NaN,NaN,NaN,NaN
138.0,128.0,357.0,NaN,NaN,NaN,NaN
128.0,118.0,349.5,NaN,NaN,NaN,NaN
118.0,108.0,381.5,NaN,NaN,NaN,NaN
108.0,98.0,375.6666666666667,NaN,NaN,NaN,NaN
98.0,88.0,390.5,NaN,NaN,NaN,NaN
88.0,78.0,428.0,NaN,NaN,NaN,NaN
78.0,68.0,404.5,NaN,NaN,NaN,NaN
68.0,58.0,366.0,NaN,NaN,NaN,NaN
58.0,48.0,404.0,NaN,NaN,NaN,NaN
48.0,38.0,432.0,NaN,NaN,NaN,NaN
38.0,28.0,374.0,NaN,NaN,NaN,NaN
28.0,18.0,373.3333333333333,NaN,NaN,NaN,NaN
18.0,8.0,364.0,NaN,NaN,NaN,NaN
10.0,0.0,352.0,NaN,NaN,NaN,NaN
