# Location,Cameron Pass
# Site,Michigan River
# PitID,COCPMR
# Date/Local Time,2019-12-18T13:50
# UTM Zone,13N
# Easting,424441
# Northing,4485707
# Latitude,40.51865
# Longitude,-105.89196
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
74.0,73.3,[],[],[],NaN,wind crust
73.3,64.0,< 1 mm,DF,F,NaN,NaN
64.0,54.0,< 1 mm,RG,F,NaN,NaN
54.0,44.0,< 1 mm,RG,F,NaN,well bonded
44.0,40.0,< 1 mm,RG,F,NaN,NaN
40.0,36.0,< 1 mm,RG,4F,NaN,some discontinuous icy/crusty snow
36.0,34.0,< 1 mm,RG,F,NaN,NaN
34.0,24.0,1-2 mm,FC,F,NaN,NaN
24.0,21.0,1-2 mm,MF,F,NaN,NaN
21.0,19.0,[],IF,1F,NaN,NaN
19.0,14.0,1-2 mm,MF,F,NaN,NaN
14.0,0.0,1-2 mm,FC,4F,NaN,depth hoar
