# Location,Cameron Pass
# Site,Michigan River
# PitID,COCPMR
# Date/Local Time,2020-03-11T13:00
# UTM Zone,13N
# Easting,424441
# Northing,4485707
# Latitude,40.51865
# Longitude,-105.89196
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
115.0,105.0,159.66666666666666,1.273,1.167,0.2831194947350007,0.0
105.0,95.0,304.0,1.394,1.408,0.0,0.0
95.0,85.0,321.0,1.427,1.432,0.0,0.0
85.0,75.0,348.3333333333333,1.428,1.47,0.0,0.0
75.0,65.0,345.3333333333333,1.514,1.472,0.0,0.0
65.0,55.0,368.0,1.488,1.542,0.0,0.0
55.0,45.0,316.0,1.367,1.588,0.0,0.5646617196979166
45.0,35.0,336.3333333333333,1.378,1.404,0.0,0.0
35.0,25.0,287.6666666666667,1.283,1.322,0.0,0.0
25.0,15.0,294.6666666666667,1.368,1.351,0.0,0.0
15.0,5.0,331.0,1.44,1.403,0.0,0.0
10.0,0.0,362.6666666666667,NaN,NaN,NaN,NaN
