# Location,Cameron Pass
# Site,Michigan River
# PitID,COCPMR
# Date/Local Time,2020-03-11T13:00
# UTM Zone,13N
# Easting,424441
# Northing,4485707
# Latitude,40.51865
# Longitude,-105.89196
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
115.0,105.0,134.0,164.0,181.0
105.0,95.0,326.0,302.0,284.0
95.0,85.0,355.0,299.0,309.0
85.0,75.0,365.0,324.0,356.0
75.0,65.0,360.0,337.0,339.0
65.0,55.0,394.0,358.0,352.0
55.0,45.0,351.0,278.0,319.0
45.0,35.0,363.0,296.0,350.0
35.0,25.0,297.0,270.0,296.0
25.0,15.0,342.0,262.0,280.0
15.0,5.0,378.0,339.0,276.0
10.0,0.0,324.0,324.0,440.0
