# Location,East River
# Site,Gothic
# PitID,COERGT
# Date/Local Time,2020-02-26T10:20
# UTM Zone,13N
# Easting,327531
# Northing,4314139
# Latitude,38.95925
# Longitude,-106.99052
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
103.0,93.0,142.0,145.0,NaN
93.0,83.0,213.0,214.0,NaN
83.0,73.0,265.0,264.0,NaN
73.0,63.0,271.0,262.0,NaN
63.0,53.0,278.0,277.0,NaN
53.0,43.0,271.0,267.0,NaN
43.0,33.0,280.0,284.0,NaN
33.0,23.0,294.0,294.0,NaN
23.0,13.0,309.0,310.0,NaN
13.0,0.0,297.0,301.0,NaN
