# Location,East River
# Site,Gothic
# PitID,COERGT
# Date/Local Time,2020-03-11T11:25
# UTM Zone,13N
# Easting,327531
# Northing,4314139
# Latitude,38.95925
# Longitude,-106.99052
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
100.0,100.0,1-2 mm,PP,F,D,NaN
100.0,99.0,1-2 mm,PP,F,M,NaN
99.0,96.0,< 1 mm,DF,F,M,NaN
96.0,92.0,2-4 mm,MFCR,K,D,NaN
92.0,86.0,< 1 mm,RG,P,D,NaN
86.0,84.0,2-4 mm,MFCR,K,D,NaN
84.0,82.0,< 1 mm,RG,1F,D,NaN
82.0,81.0,2-4 mm,MFCR,P,D,NaN
81.0,68.0,1-2 mm,RG,1F,D,NaN
68.0,53.0,2-4 mm,FC,1F,D,NaN
53.0,0.0,2-4 mm,FC,4F,D,Hand hardness observed as 4F- to 1F. 
