# Location,East River
# Site,Irwin Barn
# PitID,COERIB
# Date/Local Time,2020-04-08T11:42
# UTM Zone,13N
# Easting,317172
# Northing,4306473
# Latitude,38.88812
# Longitude,-107.10796
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
197.0,187.0,274.0,267.0,NaN
187.0,177.0,254.0,269.0,NaN
177.0,167.0,262.0,259.0,NaN
167.0,157.0,298.0,288.0,284.0
157.0,147.0,294.0,301.0,NaN
147.0,137.0,324.0,324.0,NaN
137.0,127.0,340.0,337.0,NaN
127.0,117.0,355.0,353.0,NaN
117.0,107.0,376.0,365.0,362.0
107.0,97.0,395.0,393.0,NaN
97.0,87.0,374.0,381.0,NaN
87.0,77.0,397.0,401.0,419.0
77.0,67.0,407.0,410.0,NaN
67.0,57.0,375.0,371.0,NaN
57.0,47.0,372.0,368.0,NaN
47.0,37.0,382.0,386.0,NaN
37.0,27.0,382.0,388.0,NaN
27.0,17.0,409.0,409.0,NaN
17.0,7.0,381.0,376.0,NaN
7.0,0.0,NaN,NaN,NaN
