# Location,East River
# Site,Irwin Barn
# PitID,COERIB
# Date/Local Time,2020-05-06T12:32
# UTM Zone,13N
# Easting,317172
# Northing,4306473
# Latitude,38.88812
# Longitude,-107.10796
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
153.0,143.0,451.0,NaN,NaN,NaN,NaN
143.0,133.0,398.5,NaN,NaN,NaN,NaN
133.0,123.0,398.0,NaN,NaN,NaN,NaN
123.0,113.0,418.0,NaN,NaN,NaN,NaN
113.0,103.0,420.0,NaN,NaN,NaN,NaN
103.0,93.0,425.0,NaN,NaN,NaN,NaN
93.0,83.0,465.3333333333333,NaN,NaN,NaN,NaN
83.0,73.0,455.0,NaN,NaN,NaN,NaN
73.0,63.0,428.5,NaN,NaN,NaN,NaN
63.0,53.0,424.0,NaN,NaN,NaN,NaN
53.0,43.0,441.0,NaN,NaN,NaN,NaN
43.0,33.0,431.5,NaN,NaN,NaN,NaN
33.0,23.0,428.0,NaN,NaN,NaN,NaN
23.0,13.0,444.0,NaN,NaN,NaN,NaN
13.0,3.0,452.3333333333333,NaN,NaN,NaN,NaN
