# Location,East River
# Site,Irwin Barn
# PitID,COERIB
# Date/Local Time,2020-05-06T12:32
# UTM Zone,13N
# Easting (m),317172
# Northing (m),4306473
# Latitude (deg),38.88812
# Longitude (deg),-107.10796
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),11
# Total Depth (cm),153
# Surveyors,"C. Beutler, A. Newman"
# WISe Serial No,nan
# Weather,"Calm then windy, scattered clouds. IB: knocked over :( no samples. "
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,Shrub
# Vegetation Depth,1-3
# Tree Canopy,Sparse (5-20%)
# Comments:,"Tare weight is 755g. Widespread dust/organic layer on top of snowpack
accelerating melt."
