# Location,Fraser
# Site,SNB #2
# PitID,COFEB2
# Date/Local Time,2020-02-21T14:50
# UTM Zone,13N
# Easting,424863
# Northing,4417808
# Latitude,39.90703
# Longitude,-105.87904
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
106.0,96.0,135.0,131.0,NaN
96.0,86.0,173.0,176.0,NaN
86.0,76.0,222.0,224.0,NaN
76.0,66.0,254.0,250.0,NaN
66.0,56.0,262.0,274.0,NaN
56.0,46.0,247.0,252.0,NaN
46.0,36.0,238.0,242.0,NaN
36.0,26.0,245.0,248.0,NaN
26.0,16.0,245.0,242.0,NaN
16.0,6.0,251.0,NaN,NaN
