# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2020-02-10T13:00
# UTM Zone,13N
# Easting,424539
# Northing,4417649
# Latitude,39.90557
# Longitude,-105.88281
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
124.0,114.0,41.0,38.0,NaN
114.0,104.0,108.0,111.0,NaN
104.0,94.0,116.0,123.0,NaN
94.0,84.0,118.0,120.0,NaN
84.0,74.0,178.0,179.0,NaN
74.0,64.0,216.0,220.0,NaN
64.0,54.0,240.0,250.0,NaN
54.0,44.0,251.0,240.0,NaN
44.0,34.0,250.0,255.0,NaN
34.0,24.0,235.0,227.0,249.0
24.0,14.0,256.0,265.0,NaN
