# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-02-12T08:52
# UTM Zone,12N
# Easting,756903
# Northing,4324357
# Latitude,39.03053
# Longitude,-108.03217
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
103.0,101.0,1-2 mm,PP,F,D,NaN
101.0,97.0,< 1 mm,DF,F,D,NaN
97.0,83.0,< 1 mm,RG,4F,D,NaN
83.0,81.0,2-4 mm,PPGP,1F,D,"Small graupel present, surrounded by RG"
81.0,73.0,< 1 mm,RG,P,D,some facets
73.0,63.0,1-2 mm,RG,1F,D,NaN
63.0,59.0,1-2 mm,RG,1F,D,some facets
59.0,50.0,1-2 mm,RG,1F,D,some facets
50.0,35.0,1-2 mm,FC,1F,D,NaN
35.0,10.0,1-2 mm,FC,1F,D,NaN
10.0,0.0,2-4 mm,FC,4F,D,NaN
