# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-03-25T11:15
# UTM Zone,12N
# Easting,756903
# Northing,4324357
# Latitude,39.03053
# Longitude,-108.03217
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
147.0,137.0,144.5,1.205,1.13,0.054433494345490066,0.0
137.0,127.0,149.5,1.252,1.223,0.25411058957904564,0.1077026781053814
127.0,117.0,150.0,1.192,1.209,0.0,0.03323913999387817
117.0,107.0,220.0,1.263,1.296,0.0,0.0
107.0,97.0,254.5,1.34,1.332,0.0,0.0
97.0,87.0,248.0,1.387,1.458,0.14504224777896266,0.5069750545183809
87.0,77.0,240.0,1.308,1.357,0.0,0.060627260419060025
77.0,67.0,319.5,1.455,1.474,0.0,0.0
67.0,57.0,292.5,1.38,1.376,0.0,0.0
57.0,47.0,309.5,1.49,1.482,0.12220725522067723,0.08116395037640736
47.0,37.0,277.0,1.4,1.425,0.0,0.08500110520161043
37.0,27.0,309.0,1.485,1.483,0.10119328635058228,0.09093291930645374
27.0,17.0,306.0,1.442,1.43,0.0,0.0
17.0,7.0,292.0,1.446,1.456,0.057371239145590704,0.10858595639104172
7.0,0.0,NaN,1.308,1.355,NaN,NaN
