# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-04T12:52
# UTM Zone,12N
# Easting,756712
# Northing,4324540
# Latitude,39.03224
# Longitude,-108.03431
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
101.0,91.0,209.0,196.0,NaN
91.0,81.0,237.0,254.0,NaN
81.0,71.0,309.0,296.0,NaN
71.0,61.0,299.0,290.0,NaN
61.0,51.0,303.0,307.0,NaN
51.0,41.0,300.0,295.0,NaN
41.0,31.0,314.0,312.0,NaN
31.0,21.0,324.0,331.0,NaN
21.0,11.0,316.0,316.0,NaN
11.0,1.0,291.0,326.0,NaN
