# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-03-12T11:30
# UTM Zone,12N
# Easting,756712
# Northing,4324540
# Latitude,39.03224
# Longitude,-108.03431
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
106.0,104.0,1-2 mm,PP,F,D,New snow overnight. Also has graupel: 1-2mm.
104.0,97.0,1-2 mm,PP,F,D,New snow
97.0,94.0,1-2 mm,DF,F,D,NaN
94.0,90.0,< 1 mm,DF,4F,D,Very round
90.0,86.0,1-2 mm,RG,F,D,NaN
86.0,77.0,< 1 mm,RG,4F,D,NaN
77.0,64.0,1-2 mm,FC,F,D,some rounds
64.0,55.0,< 1 mm,FC,1F,D,some grains 1-2 mm
55.0,43.0,1-2 mm,FC,4F,D,some rounds
43.0,25.0,1-2 mm,FC,F,D,~2 mm
25.0,10.0,2-4 mm,FC,4F,D,NaN
10.0,0.0,2-4 mm,FC,F,D,~4 mm
