# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-01-22T14:55
# UTM Zone,12N
# Easting,754270
# Northing,4325785
# Latitude,39.04415
# Longitude,-108.06202
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
99.0,92.0,2-4 mm,PP,F,D,some grains 1-2 mm
92.0,83.0,1-2 mm,DF,4F,D,NaN
83.0,65.0,1-2 mm,DF,1F,D,some grains <1 mm
65.0,63.0,< 1 mm,FC,4F,D,NaN
63.0,49.0,< 1 mm,RG,4F,D,NaN
49.0,32.0,2-4 mm,FC,F,D,some grains 1-2 mm
32.0,27.0,2-4 mm,FC,4F,D,some grains 1-2 mm
27.0,24.0,1-2 mm,FC,1F,D,NaN
24.0,11.0,1-2 mm,FC,4F,D,NaN
11.0,0.0,2-4 mm,FC,F,D,"some grains 1-2 mm. discolored, grass."
