# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-03-04T15:50
# UTM Zone,12N
# Easting,754270
# Northing,4325785
# Latitude,39.04415
# Longitude,-108.06202
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
98.0,88.0,210.0,199.0,NaN
88.0,78.0,295.0,337.0,NaN
78.0,68.0,291.0,291.0,NaN
68.0,58.0,272.0,269.0,NaN
58.0,48.0,282.0,264.0,NaN
48.0,38.0,266.0,288.0,NaN
38.0,28.0,292.0,278.0,NaN
28.0,18.0,300.0,310.0,NaN
18.0,8.0,279.0,279.0,NaN
8.0,0.0,273.0,NaN,NaN
