# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-03-21T10:30
# UTM Zone,12N
# Easting,754270
# Northing,4325785
# Latitude,39.04415
# Longitude,-108.06202
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
136.0,126.0,121.0,1.165,1.144,0.026011045110271743,0.0
126.0,116.0,94.0,1.115,1.109,0.0,0.0
116.0,106.0,135.5,1.188,1.18,0.035704307447973135,0.0
106.0,96.0,258.5,1.458,1.497,0.4164384536605542,0.6154181045398008
96.0,86.0,271.5,1.359,1.352,0.0,0.0
86.0,76.0,249.5,1.415,1.419,0.2749022259242736,0.2952967078357184
76.0,66.0,323.5,1.485,1.462,0.0,0.0
66.0,56.0,315.0,1.567,1.564,0.4662015813229562,0.45080734212171425
56.0,46.0,296.0,1.443,1.454,0.005541406945482736,0.06190308495351249
46.0,36.0,285.0,1.529,1.479,0.5453878303656065,0.28958062892087694
36.0,26.0,290.5,1.48,1.489,0.24508420204904835,0.2911619033846867
26.0,16.0,293.5,1.634,1.521,1.0062757107430076,0.4278312217483031
16.0,6.0,255.5,1.448,1.448,0.3914290241672485,0.3914290241672485
