# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-03-21T12:55
# UTM Zone,12N
# Easting,754171
# Northing,4325869
# Latitude,39.04494
# Longitude,-108.06313
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
102.0,92.0,94.0,93.0,NaN
92.0,82.0,102.0,108.0,NaN
82.0,72.0,208.0,198.0,NaN
72.0,62.0,246.0,NaN,NaN
62.0,52.0,256.0,250.0,NaN
52.0,42.0,291.0,286.0,NaN
42.0,32.0,264.0,266.0,NaN
32.0,22.0,290.0,286.0,NaN
22.0,12.0,277.0,282.0,NaN
13.0,3.0,282.0,280.0,NaN
