# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-02-19T09:30
# UTM Zone,13N
# Easting,453402
# Northing,4431582
# Latitude,40.03317
# Longitude,-105.54616
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
115.0,105.0,84.0,93.0,NaN
100.0,90.0,176.0,157.0,NaN
90.0,80.0,192.0,183.0,NaN
80.0,70.0,230.0,263.0,NaN
70.0,60.0,266.0,255.0,NaN
60.0,50.0,335.0,291.0,NaN
50.0,40.0,306.0,295.0,NaN
40.0,30.0,296.0,320.0,NaN
30.0,20.0,358.0,390.0,NaN
20.0,10.0,310.0,292.0,NaN
10.0,0.0,350.0,330.0,NaN
