# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-03-04T09:03
# UTM Zone,13N
# Easting,453402
# Northing,4431582
# Latitude,40.03317
# Longitude,-105.54616
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
111.0,101.0,135.5,1.215,1.217,0.171836398047073,0.1819195260453025
101.0,91.0,222.0,1.358,1.368,0.2172009897904423,0.26804921542352617
91.0,81.0,262.5,1.418,1.471,0.17739290373220878,0.44796483124881953
81.0,71.0,306.5,1.485,1.468,0.12433762452669919,0.037145138161873606
71.0,61.0,302.5,1.585,1.535,0.6737285208013591,0.41750341437863
61.0,51.0,266.0,1.625,1.566,1.2034288013620829,0.9023439518518988
51.0,41.0,262.5,1.468,1.437,0.4326514000838868,0.27439883370908164
41.0,31.0,262.0,1.452,1.461,0.35534203155623684,0.40128287757112935
31.0,21.0,314.0,1.511,1.496,0.18812739266771847,0.11113998237595496
21.0,11.0,260.0,1.417,1.465,0.19413733095958302,0.43912117467419687
11.0,1.0,290.0,1.53,1.452,0.5055556104200424,0.10625080259020207
11.0,1.0,NaN,1.591,1.593,NaN,NaN
