# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-03-04T09:03
# UTM Zone,13N
# Easting,453402
# Northing,4431582
# Latitude,40.03317
# Longitude,-105.54616
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
111.0,107.0,< 1 mm,PP,F,D,NaN
107.0,97.0,[],[],[],[],stratigraphy gap - no info recorded 107-97cm
97.0,91.0,< 1 mm,RG,4F,D,NaN
91.0,76.0,1-2 mm,RG,4F,D,NaN
76.0,67.0,< 1 mm,FC,1F,D,NaN
67.0,53.0,1-2 mm,FC,F,D,NaN
53.0,31.0,1-2 mm,FC,F,D,NaN
31.0,27.0,1-2 mm,FC,F,D,NaN
27.0,13.0,< 1 mm,FC,F,D,NaN
13.0,0.0,1-2 mm,FC,F,D,NaN
