# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-02-26T14:44
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
172.0,162.0,138.0,141.0,NaN
162.0,152.0,159.0,153.0,NaN
152.0,142.0,212.0,208.0,NaN
142.0,132.0,250.0,264.0,NaN
132.0,122.0,301.0,295.0,NaN
122.0,112.0,306.0,298.0,NaN
112.0,102.0,307.0,311.0,NaN
102.0,92.0,343.0,350.0,NaN
92.0,82.0,343.0,339.0,NaN
82.0,72.0,352.0,357.0,NaN
72.0,62.0,356.0,352.0,NaN
62.0,52.0,357.0,349.0,NaN
52.0,42.0,350.0,358.0,NaN
42.0,32.0,388.0,396.0,NaN
32.0,22.0,411.0,415.0,NaN
22.0,12.0,416.0,391.0,NaN
12.0,2.0,325.0,344.0,NaN
