# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-03-11T12:25
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
166.0,156.0,157.5,1.261,1.261,0.23900297485229455,0.23900297485229455
156.0,146.0,264.5,1.298,1.343,0.0,0.0
146.0,136.0,271.5,1.442,1.392,0.22077491015342476,0.0
136.0,126.0,332.0,1.449,1.407,0.0,0.0
126.0,116.0,346.0,1.498,1.501,0.0,0.0
116.0,106.0,326.0,1.583,1.528,0.44538421562078984,0.16279897992330042
106.0,96.0,365.0,1.549,1.51,0.0,0.0
96.0,86.0,358.0,1.612,1.62,0.2871500128047372,0.3283864228564927
86.0,76.0,371.0,1.58,1.5711,0.0,0.0
76.0,66.0,372.0,1.585,1.585,0.009420876753004254,0.009420876753004254
66.0,56.0,366.5,1.572,1.58,0.0,0.038333398681733494
56.0,46.0,370.5,1.561,1.592,0.0,0.0605170709818894
46.0,36.0,402.0,1.592,1.622,0.0,0.0
36.0,26.0,418.5,1.669,1.659,0.0,0.0
26.0,16.0,382.5,1.704,1.638,0.5189125580362081,0.17787974349755536
16.0,6.0,367.5,1.612,1.613,0.19354757127236166,0.19870767230459083
