# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-02-26T12:50
# UTM Zone,13N
# Easting,260318
# Northing,4199007
# Latitude,37.90705
# Longitude,-107.72625
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
128.0,118.0,266.5,NaN,NaN,NaN,NaN
118.0,108.0,304.0,NaN,NaN,NaN,NaN
108.0,98.0,328.0,NaN,NaN,NaN,NaN
98.0,88.0,351.0,NaN,NaN,NaN,NaN
88.0,78.0,321.0,NaN,NaN,NaN,NaN
78.0,68.0,355.5,NaN,NaN,NaN,NaN
68.0,58.0,424.5,NaN,NaN,NaN,NaN
58.0,48.0,411.0,NaN,NaN,NaN,NaN
48.0,38.0,381.5,NaN,NaN,NaN,NaN
38.0,28.0,400.0,NaN,NaN,NaN,NaN
28.0,18.0,387.5,NaN,NaN,NaN,NaN
18.0,8.0,352.5,NaN,NaN,NaN,NaN
