# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-02-26T12:50
# UTM Zone,13N
# Easting,260318
# Northing,4199007
# Latitude,37.90705
# Longitude,-107.72625
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
128.0,118.0,240.0,293.0,NaN
118.0,108.0,298.0,310.0,NaN
108.0,98.0,286.0,370.0,NaN
98.0,88.0,358.0,344.0,NaN
88.0,78.0,328.0,314.0,NaN
78.0,68.0,337.0,374.0,NaN
68.0,58.0,426.0,423.0,NaN
58.0,48.0,400.0,422.0,NaN
48.0,38.0,388.0,375.0,NaN
38.0,28.0,394.0,406.0,NaN
28.0,18.0,399.0,376.0,NaN
18.0,8.0,365.0,340.0,NaN
