# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-27T12:40
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
124.0,114.0,158.0,1.192,1.172,0.0,0.0
114.0,104.0,192.0,1.246,1.233,0.0,0.0
104.0,94.0,233.5,1.327,1.375,0.0,0.20741081394286898
94.0,84.0,267.0,1.434,1.427,0.21960788834259654,0.18385184688804937
84.0,74.0,284.0,1.484,1.496,0.32414379931892867,0.38553522084163
74.0,64.0,328.0,1.497,1.459,0.0,0.0
64.0,54.0,356.5,1.519,1.473,0.0,0.0
54.0,44.0,368.5,1.481,1.527,0.0,0.0
44.0,34.0,373.5,1.532,1.454,0.0,0.0
34.0,24.0,344.5,1.451,1.443,0.0,0.0
24.0,14.0,340.0,1.406,1.427,0.0,0.0
14.0,4.0,NaN,1.461,1.455,NaN,NaN
