# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-03-12T13:15
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
118.0,108.0,207.0,202.0,NaN
108.0,98.0,265.0,277.0,NaN
98.0,88.0,269.0,261.0,NaN
88.0,78.0,315.0,312.0,NaN
78.0,68.0,319.0,305.0,NaN
68.0,58.0,348.0,346.0,NaN
58.0,48.0,376.0,373.0,NaN
48.0,38.0,395.0,393.0,NaN
38.0,28.0,379.0,384.0,NaN
28.0,18.0,351.0,354.0,NaN
18.0,8.0,347.0,349.0,NaN
