# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-02-06T12:00
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
135.0,125.0,109.0,NaN,NaN,NaN,NaN
125.0,115.0,116.0,NaN,NaN,NaN,NaN
115.0,105.0,175.0,NaN,NaN,NaN,NaN
105.0,95.0,187.5,NaN,NaN,NaN,NaN
95.0,85.0,218.5,NaN,NaN,NaN,NaN
85.0,75.0,263.5,NaN,NaN,NaN,NaN
75.0,65.0,305.5,NaN,NaN,NaN,NaN
65.0,55.0,329.5,NaN,NaN,NaN,NaN
55.0,45.0,340.5,NaN,NaN,NaN,NaN
45.0,35.0,333.0,NaN,NaN,NaN,NaN
35.0,25.0,321.0,NaN,NaN,NaN,NaN
25.0,15.0,325.0,NaN,NaN,NaN,NaN
15.0,5.0,322.5,NaN,NaN,NaN,NaN
