# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-02-13T11:30
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
134.0,124.0,139.0,155.0,135.0
124.0,114.0,156.0,152.0,NaN
114.0,104.0,204.0,195.0,NaN
104.0,94.0,233.0,241.0,NaN
94.0,84.0,252.0,245.0,NaN
84.0,74.0,286.0,287.0,NaN
74.0,64.0,327.0,316.0,NaN
64.0,54.0,344.0,339.0,NaN
54.0,44.0,372.0,354.0,NaN
44.0,34.0,349.0,357.0,NaN
34.0,24.0,332.0,337.0,NaN
24.0,14.0,333.0,327.0,NaN
14.0,4.0,321.0,326.0,NaN
